Tausug,Part of Speech,English Translation
aymuka,n,"Facial expression, countenance"
ayum-ayum,n,An eyelet stitch
baan,v,rdp
bābā,rel,While
babaꞌ atay,n,Humility
bābag atay,adj,"Obstinate, contrary"
babai,n,"A woman, female"
babarāpa,adj,"Various, miscellaneous"
babat,n,Belly
babaw,n,The upper surface
babbal,adj,"Foolish, stupid, idiotic"
babuꞌ dayang,n,"Ma’am, madam"
babuy,n,"A pig, hog"
babuy-babuy,n,Epilepsy
badbad,adj,"Unrolled, uncoiled, unfurled"
badlak,n,"Pulsation, palpitation, premonition"
badlung,n,A slingshot
baga,n,"Embers, coals"
bagalawang,n,A big kite
bagid,n,A match
bagting,n,A bell
bāgun,n,A vine
bagun-bagun,n,An outline stitch
bagunbun,n,Dust
bahal,n,Toddy
bahasa,n,"Language, dialect, speech"
bahibu,n,Fine body hair
bahittuk,n,Noise
bahwa,n,Word of greeting
baklaw,n,An amulet
balꞌakkal,adj,"Intelligent, very wise"
balab-balab,n,"Chattering, foolish talk"
balatin,n,A children’s game
baldi,n,"A pail, bucket"
balik,adv,Again
baliskwat,adj,"Inverted, upside down, topsy-turvy"
balkanan,adj,"Rich, wealthy"
ballak,n,Anahao palm
ballit,adj,Upside down
balu,n,"A widow, widower"
baluy,n,A sleeping mat
bana,n,A husband
bānag,n,A dragonfly
bandut,n,Saddle girth
banhud,n,Numbness
bansag,v,act mag-
bansān,n,A rudder
bansil,n,Gold caps
bantut,adj,"Effeminate, hermaphrodite, homosexual"
banu-banu,n,"A scheme, plan"
banusu,n,Dried tobacco leaf
bang,rel,"If, when"
bāngaw,n,A rainbow
bangbang,n,"A confection, cookie, biscuit"
banghad,n,The
bangkay,n,A corpse
bangking,n,A bedbug
bangkit,n,Lime
bangsa,n,"People, race, nation"
bangsawan,adj,Noble
bangun,n,A payment
bangus,n,Milkfish
bāra,n,A crowbar
barakat,n,A blessing
baran,n,The body
barang,n,Merchandise
barilis,n,A metal barrel
barung,n,A single-bladed weapon
basag,n,"Physical strength, vigor"
basakan,n,A rice paddy
bastidur,n,A hand-held embroidery hoop
bastigan,adj,"Healthy and strong, robust"
basung,n,A cone-shaped object
bāt,n,"Large sea cucumber, trepang"
batāan,n,"Follower, retainer, underling"
batang,n,Trunk
batang sulat,n,A letter
batangan,n,A crosspiece
batik,n,A trap
battik,n,Batik cloth
batu balani,n,A magnet
batu hihilug,n,A smooth stone
batunjang,n,A brass tray
batung,n,Bean
baul,n,A trunk
baung,n,A dipper
baung-baung,n,A small savings bank
bauu,n,"Land turtle, tortoise"
bāw,n,A finish
bawdbud,n,Pinipig
bawgan,n,A trigger
bawlu,n,Small molded sponge cake
bawtut,n,A boil
bawyut,n,A bag
bāy,n,A house
baya-baya,adv,"Well-nigh, almost, nearly"
baykaskas,n,A shank collar
bayla,n,Modern or Western dance
bayli,n,Short grass
baymbing,n,Balingbing
baynat,n,"Result, consequence"
bayug,adj,"Flabby, flaccid, physically weak"
bibang,n,The monitor lizard
bibingka,n,A rice-cake confection
bidduri,n,"Precious stone, gem"
bidjak,n,Caress
bigi,n,A seed
bigi asum,n,Cheekbone
bihaini,adv,Like this
bilat,n,"The female pudenda, vulva"
bili-bili,n,A sheep
bilik,n,A room
bilmaarup,n,"Group agreement, group consensus"
bilu,adj,"Blue, bluish in color"
biluk,n,"The curving, turning, swerving"
bimbang,n,"Anxiety, worry"
bīn,n,"Instructions, directions"
binangkaw,n,A short-bladed spear
bintang,n,A brass washbasin
bīng,adj,"Inside out, backside, reversed"
bingal,n,Something used to hold
bingaw,adj,Absentminded
bingit,n,A fishhook
bingkul,n,A piping
binglud,n,Small particles or chips
biraddali,n,A skymaiden
bisa,n,"Sharpness, sting"
bisu,adj,"Deaf, unable to hear"
bisuul,n,A sty
bitad,adj,Fully stretched
bitu-bituhan,adj,Totally dark
bituanan,n,A divorcee
bituun,n,A star
biyabas,n,A guava tree
biyaning,adj,Yellow
biyul,adj,Out of tune
buꞌtul,n,The first striking blow
buaya,n,A crocodile
bubuk,n,A condiment
bubutan,n,The passage
būd,n,A mountain
budbud,n,A shank collar
buddi,n,A debt of gratitude
budlung,adv,Swiftly
bugaw,n,A pimp
bugsay-bugsay,n,Shoulder blade
bugtang,n,Something dead
bugun,n,Goiter
buhangin,n,Sand
buhuk,n,Hair
buka-buka,n,Flying lizard
bukag,n,Loud talking
bukal,n,"Bubble, foam, froth, lather"
bukis,n,A stain
buktun,n,An arm
buku,n,"A knot, node"
buku-buku siki,n,Ankle bone
bukul,n,A bud
būla,n,A ball
bulak,adj,Young or unripe
bulakbul,adj,Truant
bulan,n,The moon
bularut,n,A carbuncle
bulatas,adj,"Joined, connected"
bulawan,n,Gold
bulbul,n,"Fur, hair"
bulig,n,A bunch or cluster
bulihuk,n,A large whirlpool
buling,n,Charcoal
bulingkag,v,"act -um-, mang-"
bulitik,n,Dried resin
bullat,adj,"Having wide, protruding eyes"
bulsa,n,A pocket
bulu,n,The barrel
bulut,n,Orchitis
bunbun,n,Very fine grayish sand
bunnal,adj,True
bunsi,n,"Hatred, abhorrence, detestation, rancor"
buntul,adj,Straight
buntul atay,n,Honesty
bunuk-bunuk,n,"A shower, drizzle, sprinkle"
bunut,n,A coconut husk
būng,adj,mabūng
bunga,n,"A design, print"
bunga jakkum,n,Adam’s apple
bunga suga,n,Cicada
bungbung,n,A shank
bungis,n,"Sternness, harshness, severity, cruelty"
bungkal,n,A ball
bungsud,n,A circular fish corral
bungtas,n,Extreme hunger
bungug,adj,Dull
bungul,n,A tumor
burak,n,Face powder
būras,n,A rattan mat
burda,n,Embroidery
burus,n,A pregnant woman
buskag,n,"The expansion, swelling"
buslut,n,"A hole, puncture, leak"
bustak,n,"A break, rupture, puncture"
busul,n,A swelling or bump
buta,adj,"Blind, sightless"
buta atay,adj,Ungrateful
butig,n,A lump or cyst
butuk,n,A bundle
butung,n,A mature unripe coconut
buug,n,Parkinson’s disease
buwahan,n,The lanzones tree
buwang,n,rdp
buwis,n,A tribute
buyan,n,A herd
buyung,n,"Scrotum, testicles"
daawa,n,"A reason, excuse"
dabung,n,Bamboo shoots
dagbus,n,"Looks, appearance, resemblance, figure"
daghal,n,"The chest, thorax"
daghay,n,"Loud laughter, guffaw"
daghum,n,A glottalized sound
daging,n,"Sperm, egg, ovum"
dagmay,n,"Worn-out clothing, rag"
dahal,adj,"Greedy, gluttonous"
dāhit,n,"Fear, fright, cowardliness"
dahut,n,A running stitch
daira,n,"City, sizeable town"
dakag,n,Overinsistence or excessive demanding
dakmul,n,Thickness
dakuman,adv,Yet
dalat,n,"A breeze, light wind"
dalig,n,The back edge
damag,n,"Fear, cowardliness"
damdam,n,"Longing, yearning"
damlag,adj,Full moon
damug,n,Dew
dantik,n,"A reed, rush"
dangaw,n,A span
dangaw-rangaw,n,A caterpillar
dangin,n,Someone invited to help
danglay,n,A nickname
dāpang,n,A boat without outriggers
dapat,n,Possibility
dapaw,n,Anything causing itchiness
dapulan,n,A stove
daran,adj,"Often, frequently, always"
dasu,n,Satin brocade
daug,n,A bunch
dawat,n,The lead
dawgdug,n,Thunder
dawmuan,n,A variety of bamboo
daya,n,"Wealth, wealthiness, affluence, opulence"
dayn,rel,From
dayn diin,adv,From where
dayn hain,adv,"From where, where"
dī,adj,Here
didtu,adj,There
dihang,n,An unbeliever
diyat,n,Money used to recompense
dugaing,adj,"Other, different"
dugdug,adj,Rotten
dugsul,n,An ulcerated wound
duhung,v,"act mag-, -um-"
dukka,n,"Grief, woe, tribulation"
dūm,n,Night
dunuk,n,"A flood, deluge"
dupang,adj,"Stupid, silly, foolish"
durri,n,A precious gem
durul,n,An indigenous confection usu
dusa,n,"Sin, crime, guilt, fault"
duun,adj,"There, at that place"
dūyan,n,A durian tree
gaan,n,Lightness
gabbang,n,The Tausug xylophone
gaddung,adj,Green
gadja,n,An elephant
gadja hilaw,n,Unbleached muslin
gadja-gadja,n,Mumps
gadji,n,"Wages, salary"
gaggat,n,A hindrance or obstacle
galak,n,Pulse
gallang,n,A bracelet
gām,adv,"Better, rather"
gamis,n,An Arab’s long undergarment
gampung,adj,Musty
gamus,adj,Preserved
ganda,n,"Reward, compensation"
gandang,n,A drum
gandariba,n,Interest
gandasuli,n,The garland flower
gandawari,n,A figurehead
gandum,n,"Corn, maize"
gantung liug,n,A necklace
gangat,n,A barb or hook
gangu,adj,magangu
gapas,n,"Cotton, gauze"
garing,n,"Elephant tusk, ivory"
gasud,n,"Whoop, yell, boo, hoot"
gawa,n,"Apprehension, misgiving, mistrust, doubt"
gawa-gawa,n,The trigger
gawang,n,"Pitfall, hidden trap, hole"
gawi,n,"Errand, object, purpose, mission"
gayad,n,The width
gayang,n,A bladed weapon
gayung,n,A small vessel
gikap,n,A page
gikus,n,A coil
giluk,n,"Voluptuousness, sensuousness"
gimba,n,The interior
ginhawa baran,n,The whole being
girit,n,"A tear, fray"
gubang,n,A dugout boat
gubat,n,"An assault, attack"
gulal,n,A title
gulamay lima,n,A finger
gulamay siki,n,A toe
gulangan,n,"Forest, the wilds, jungle"
gulung,n,A bundle or roll
gumun,adj,"Entwined, interwoven, entangled, intertwined"
gunting,n,Scissors
gunggung,adj,"Slow of understanding, dull-minded"
gūnggūngan,n,"Throat, windpipe"
gungutan,n,A drawstring
gutas,n,"Hunger, starvation"
gutum,n,"Famine, starvation"
guyaꞌ atay,n,"Emotionality, quickness to weep"
habal,n,News
habas,n,A sore
habay-habay,n,A kind of amulet
hablun,n,A loom
habug,n,"Broadness, breadth"
hagas-hagas,n,A whisper
hagaw-hagaw,adj,"Doubtful, uncertain, indefinite"
hagdan,n,"A ladder, stairs, steps"
haggut,n,Coldness
haggut atay,n,Calmness
hagikhik,n,Dandruff
hagpay,n,Coldness
hagubhub,n,A humming sound
haguk,n,Snoring
hagunghung,n,A reverberating sound
hājat,n,"Purpose, intention"
hakhak,n,paghakhak Loud laughter
hakīkat,n,"Truth, sincerity"
hāl,n,Condition
halal,adj,"Lawful, permitted, not forbidden"
halaman,n,A yard
hali,n,Rest
hali-hali,n,A short rest
halimun,n,A charm
halin,n,"Deterioration, change"
halipulu,adj,"Impolite, discourteous, ill-behaved, ill-mannered"
haluꞌ atay,adj,Ungrateful
halul-akkal,adj,Very intelligent
haluy,n,Looseness
hamba,n,A slave
hambug,n,"Healthiness, stoutness, chubbiness"
hampan,n,"Amulet, charm, talisman"
hamug,n,Dewdrops
hamut,n,"Scent, fragrance"
hantang,n,"Description, account, delineation"
hantu,n,A cramp
hangin,n,"Breeze, wind, air"
hanglup,n,"Chicken lice, bird lice"
hanglus,n,A burn or scald
hapak,n,Dryness
hapdus,n,"Stinging, smarting pain"
hapun,n,"Fishing line, string"
hapus,n,"Weariness, tiredness"
harap,n,"Front, frontage, foreground"
harat,n,"Acridness, bitterness"
harus,adj,"Proper, befitting, allowable"
hās,n,A snake
hās tangkig,n,A water snake
hātan,n,"Written character, handwriting, penmanship"
hāti,n,"Meaning, understanding"
hatiku,adv,"Presumably, probably, most likely"
hawal-hawal,adj,"Doubtful, vacillating, wavering"
hawatil,adj,Suspicious
haws,adj,Superficially or slightly burned
hawyung,n,hawyungan A funnel
hayanat,adj,"Unreliable, irresponsible"
hayang,n,Spaciousness
haymbuꞌgatun,adj,Dignified
hayup,n,Domesticated animals
hibal,n,"Movement, motion, movableness, mobility"
hibuk,n,Noise
higad,n,"The edge, rim, brink"
higad simud,n,The lip
higung-hagas,n,"Rumors, whisperings"
hijab,n,"Veil, the holy veils"
hikhik,n,"A giggle, titter"
hikmat,n,"Enchantment, magic hypnotism, charm"
hilam,n,A mosquito
hilap,n,A slice
hilaw,adj,"Raw, unripe"
hilunu,adj,"Soft, boneless, weak"
himmil,n,"Moistness, dampness"
himpit,n,"Modesty, demureness, shyness"
hinay,n,"Slowness, sluggishness"
hinit,adj,"Fully stretched, taut"
hinu-hinu,n,Iridescence
hingga,n,"A mark, notch"
hinglaw,n,Fever
hipus,adj,Finished
hiyu,n,A Chinese incense stick
hiyul,n,"A commotion, bustle"
huꞌnap,n,Fish scales
hukut liug,n,A necklace
hulat,n,"A stopper, plug, cork"
hūlin,n,A marble
hulubalang,n,"A great warrior, hero"
humbal,adj,Soft
hun,n,A homemade cigarette
hunit,n,"Difficulty, hardship"
hunus,n,"A strong wind, typhoon"
hungut,n,A small bank
hurup,n,Clear pronounciation
huun,intj,Yes
huwas,adv,"After, afterwards, right after"
iban,rel,"And, with"
ibu,n,A thousand
ibug,n,Envy
idda,n,A deadline for
idlap,n,"Shininess, glossiness, silkiness"
igin,n,Permission
igut,n,"Coccyx, the fleshy tail"
īhi,n,A drive shaft
ikag,adj,maikag Envious or jealous
ikang-ikang,n,"Chains, fetters, shackles"
ikat,n,An abscess
ikrar,n,A confession
ila,n,A birthmark
ilaw,n,Light
ilu,n,An orphan
ilung,n,Nose
īman,n,"Faith, restraint or forbearance"
impis,n,A chick
inasir,n,"Nature, origin, elements"
inda,n,"A fancy, whim"
indan,n,"A mark, sign, symptom"
inday,intj,I don’t know
indung,n,A salt-water eel
inig,n,"Gloss, luster, shine"
intan,n,A diamond
inu-inu,n,"Wonder, astonishment, surprise"
ingat,n,"Knowledge, wisdom, intellect"
ingat-kapandayan,n,"Ability, capacity, or skill"
inggun,n,A variety of cowry
ingkahi,n,Lace
ipit,n,Yaws between the buttocks
ipul,n,Leprosy
īpun,n,"A slave, servant"
iradat,n,"Will, desire, intention, determination"
iral,n,"Target-shooting, marksmanship"
Īsa,n,Jesus
isay,n,A namesake
isuk,n,Pith
isun,n,"Counsel, mutual agreement"
itik,n,A duck
itikad,n,"Thought, one’s thinking, attitude"
itum,adj,Black
iyas,n,Maggots
jablut,n,"A fringe, ravel"
jaga,n,"A guard, watchman"
jagjag,adj,"Topsy-turvy, messy, disheveled, tousled"
jahat,n,kajahatan Trouble
jāhil,adj,"Incorrigible, licentious, flirtatious"
jakat,n,"A tithe, religious tax"
jām,n,An hour
jambatan,n,"A dock, wharf, pier"
jāmin,n,"Ransom, bail, bond"
jamjam,n,A Tausug song
jampang,n,The sheet
jantung,n,Human heart
janggay,n,A long fingernail
japang,n,A woven leaf basket
jasad,n,The body
jawab,n,"Answer, reason, argument"
jaymanis,n,"Fourth finger, ring finger"
jibulan,n,A small winnowing basket
jīl,n,A jail
jimpaw,n,A towel
jīn,n,"Jinn, genie"
jina,n,"Fornication, adultery"
juba,n,A vestment
jubul,n,Anus
julup,adj,"Feebleminded, idiotic, imbecile"
jurriyat,n,"Descendant, lineage"
kaꞌnu,adv,When
kaꞌnuman,adj,Sixty
kaꞌpatan,adj,Forty
kaat,v,act mag-
kabang,adj,"Spotted, piebald"
kābaw,n,A carabao
kabbun,n,"An orchard, grove, plantation"
kabig,adj,"Bow-shaped, embowed"
kabii,adv,Last night
kaddaw,adv,"Wishfully, hopefully"
kagang,n,A crab
kagas,n,"A slight mark, scratch"
kagingkul,n,The sound
kagkag,adj,"Thin, lean, emaciated"
kagut,n,A mark or scratch
kagutkut,n,A sore
kahang,adj,"Spoiled, rancid"
kahawa,n,Coffee
kainagun,n,pagkainagun Interest and support
kākas,n,Ringworm
kakayaan,n,"Wealth, property, belongings"
kakkal,adj,"Everlasting, forever, eternal"
kakkang,n,A bit
kalabbiyan,n,Work
kalabusu,n,"Jail, prison"
kalakkuwan,n,Habit or
kalari,n,Taro
kalas,adj,"Pinkish, pink"
kaldang,n,Stilts
kalis,n,A kris
kalling,adj,Very dark-complexioned
kallit,n,The end
kalluk,adj,"Curved, bent"
kālu,n,"Trouble, quarrel"
kalug,n,"Ascaris, parasitic roundworms"
kalulay,n,White marks
kamamau,n,The lower abdomen
kamanyan,n,Incense
kamas,n,A scratch
kamayu,n,An infection
kambal,n,Multiple births
kambing,n,A goat
kambut-kambut,n,An amulet
kamdus,n,"Firmness, durability"
kamisita,n,A T-shirt
kamisun,n,"A chemise, slip"
kampung,n,"Kindred, relatives"
kan,rel,Oblique personal marker
kandang,n,A plot
kandaru,n,A padlock
kandiis,n,Dimples
kandit,n,A man’s sash
kansing,n,A hook or bolt
kantil,n,"A bed, bedstead"
kānting,n,Ankle
kangkang,adj,Pointing or sticking outward
kanyamun,n,A big coiled rope
kanyun,n,A cannon
kapa,n,"An ax, hatchet"
kapāla,n,"Master, leader, head"
kapaya,n,A papaya tree
kapitira,n,A coffeepot or teapot
kapituwan,adj,Seventy
kapiyalu,n,Sunstroke
kappal,n,A ship
kapsiyu,n,A kettle
kapu-kapu,n,"Mildew, mold"
kapunyahan,n,"Usefulness, worth, value, use"
kaput,n,"Waste, trash"
kararak,n,Diarrhea
kariasali,adj,"Inborn, congenital, natural"
kāru,n,A non-motorized cart
karusang,n,A brooch
karut,n,"A sack, burlap bag"
kasap,n,"Coarseness, roughness"
kasi,n,Possessive love
kasiyaman,adj,Ninety
kaslugan,adj,"Stiff, tough"
kassup,n,A snap fastener
kata-kata,n,"A narrative, story"
kātas,n,Paper
katawa,n,"Laugh, laughter"
kātay,adj,A vagabond
kātian,n,"Jungle, forest, woods"
katig,n,An outrigger
katluan,adj,Thirty
katti,n,A unit of weight
kawaluwan,adj,Eighty
kawasa,n,"Power, ability, authority, strength"
kawgun,adj,Wasted
kawhaan,adj,Twenty
kawit,n,Diabetes gangrene
kawk,adj,Having an inward curvature
kawkatik,n,Polyuria
kawsun,adj,Brown color
kawtkut,n,"Mange, skin disease"
kay,rel,And
kayꞌman,adj,Fifty
kayawan,n,Spiny bamboo
kaykit,adj,Tricky
kayt,n,A safety pin
kaytan,n,A shark
kāyu,n,Fire
kayug,n,"Thinness, slenderness, leanness"
kibang,n,A pit or hole
kibut,n,A small jar
kīd,n,"Side, flank"
kidjang,n,A wing
kignut-kuhibal,n,Actions
kīki,adj,"Eager, enthusiastic"
kila,n,Hydrocephalus
kīlu,n,A kilogram
kilul,n,Malunggay
kimmat,n,"Assessment, estimation"
kintas,n,A sheet of paper
kingki,adj,"Tightly curled, frizzy, kinky"
kingking,n,The little finger
kira-kira,n,"Thinking, imagination, calculation, guess"
kissa,n,"A story, tale"
kitlan,n,"Tar, pitch"
kuꞌnu,adv,When
kubba,n,The grave or tomb
kubbing,n,"Hip, hipbone"
kubbung,adj,"Hollow, concave"
kubul,n,A grave
kūbung-kūbung,n,A small lean-to shelter
kudarat,n,The power
kughak,n,A louse
kuhibal,n,"Actions, movement"
kūka,n,"Collarbone, clavicle"
kukumung,n,Pincers
kulaing,n,An indigenous musical instrument
kulang,adj,"Missing, less, lacking"
kulang labi,adv,"More or less, approximately"
kulap,n,Ichthyosis
kulayt,n,A kerosene pressure lamp
kuligkig,n,"A bargainer, esp"
kulintangan,n,A musical instrument
kulit,adj,Orange
kulitis,n,A firecracker
kulung,n,"A curl, ringlet"
kumba,n,The lungs
kumbatul,n,A tumor
kūmu,n,"Underbrush, heavy undergrowth, thicket"
kumut,adj,"Crumpled, having creases"
kunut,adj,"Wrinkled, having creases, crumpled"
kūngan,n,A cage for animals
kungkaw,n,Swindling
kungkung,adj,"Bent over, curled up"
kūp,n,"Dusk, twilight"
kuppang,n,A mollusk
kuppiya,n,A brimless skull cap
kuppung,n,"A well, pit"
kuppus,adj,Subsided
kupul,adj,Blasphemous
kuskus balungus,n,Needless things to do
kutad,adj,"Straight, smooth, well-pressed"
kuti,n,"Extreme anger, indignation"
kuti-kuti,n,An animal disease
kuting,n,A cat
kutubibang,n,A tick
kuuk,n,A cockroach
kuyang,n,Giddiness
laas,n,"Age, maturity"
laba,adj,"Profitable, gainful in business"
labbaw,adj,"More than, over"
labi,adj,"Extra, excess"
labi awla,adv,All the
labit,n,The dry protective material
labug-labug,v,"act mag-, -um-"
labung,n,"Thickness, heaviness"
ladju,n,Distance or farness
lāg,adj,Blond
lagak,adj,"Gluttonous, greedy, voracious"
lagam,n,"Arrogance, impertinence or insolence"
laganglang,n,Bright color
laglag,adj,Absolutely dead
lagublub,n,A loud noise
lagudlud,n,The dragging
lagung,n,A kind of lanzones
lagungkad,n,A disturbing noise
lagupuk,n,The snapping or cracking
lahang,n,"Spread, separation, distance apart"
lahud,n,A swollen mark
lakab,n,A flood
lakat,n,"Dampness, dankness, slight muddiness"
lakbang,n,Width
lakit,n,Solid black stone
laksamana,n,An obsolete title
laku,n,"Behavior, conduct, disposition, manner"
laku-tabiat,n,"Manner, behavior, conduct, habit"
lakud-lakud,n,The noise
lalat,adj,malalat
lali,n,One’s style or way
lallay,n,"Slowness, delay, inertness"
lalungan,n,An open coffin
lambitung,n,A firefly
lamdus,n,A cork
lamin,n,Transmission
lamisahan,n,A table
lamma,n,"Weakness, illness, sickness"
lampa,n,Curry powder
lampag,adj,Careless
lampaw,adj,"More, superior, greater"
lampik,n,A lining or layer
lampu,n,A kerosene lamp
lamud,n,Something added or mixed
lamuk,n,"Fish, seafood, or meat"
lamun,n,"Nearsightedness, shortsightedness"
lana,n,Oil
lanab,n,"Flavor, taste"
landak,n,A crowbar
landang,n,Prepared sago palm
landasan,n,An anvil
lanjang,n,"Tallness, height"
lansa,n,A motor launch
lansa-lansa,n,The cosmos
lansang,n,A nail
lansuk,n,A candle
lansung,n,Ink
lantak,adj,Totally or completely deaf
lantaw,n,A long net
lantay,n,Floor
lanting,n,A large raft
lanut,n,Abaca
langan,n,A lullaby
langat-langat,n,The
langgal,n,A mosque
langgang uhaw,n,Extreme thirst
langgit,n,"A vaccination, inoculation"
langgung,n,A sibling
langit,n,The sky
langkahan,n,"Sill, threshold"
langkay,n,A dried coconut leaf
langking,n,Chinese black dye
langkuwas,n,Ginger
langsa,n,The slimy odor
lapad-lapad,n,A small shelf
lapak-lapak,n,Sounds in rapid succession
lapal,n,"Word, statement"
lapay,adj,"Inclusive, included, including"
lapis,n,"A lining, layer"
lapit adlaw,adv,Just before daybreak
lappas,adj,Delivered
lapuk,n,"Crispness, brittleness"
lara,n,A pepper
larak,adj,Partially destroyed
laring,n,A knife
lasa,n,Love
lastung,n,Paronychia
lāsu,n,A ribbon
lata,n,"Talkativeness, loquaciousness, garrulousness"
latap,n,A flood
laul,n,"Tiredness, weariness, fatigue"
lawa,n,left side
lawak,n,"Farness, distance between"
lawang,n,"A door, gate"
laway,n,Saliva
lāy,n,"A dish, plate"
laya,n,A casting net
layagan,n,Sorghum
laylatul,n,A Muslim saint
laylay,adj,"Torn, tattered"
layn sambung,adv,By the way
līan,adj,Senile
līd,n,The position or direction
ligap,n,Something to do
ligu,n,A flat basket
lihaw,n,"The limpidness, clearness, lightness"
lihi,n,Any success attained
likawanan,n,Weakness
likud,n,Absence
liling,n,"Scrutiny, close observation"
limāya,adj,"Free, independent, unconstrained"
linaw,n,Calmness
linayat,n,Dewlap
lindang,n,A love charm
lintang,n,A bamboo buoy
lingag,adj,Foolish or weak-minded
lingas,n,"Uneasiness, displeasure, discomfort, restlessness"
lingkat,n,Beauty
lingug,n,"Confusion, disturbance, trouble"
lipaga,n,"Attention, concentration"
lipat,adj,"Twice as much, double"
liug,n,Neck
liyabi,n,A wrench
liyuuran,n,"Descent, lineage, ancestry, family"
luag,n,"Wideness, dimensions, extensiveness"
lubas,n,The residue
lubaw,adj,"Discolored, faded"
lubbung,n,A curved depression
lubu,adj,"Dilapidated, old, run-down"
lugal,n,"Place, space, site"
luggut,adj,Extremely low
luhay,n,Cheapness
lukis,n,A design
lukmay,n,Weakness
luku,n,A white robe
lukub,n,A covering
lūm-lūm,n,Candy
lumad,adj,"Acquainted, accustomed to someone"
lumu,adj,"Granular, crumbly"
lundang panun,n,"Comrade, buddy, pal, chum"
lungag,n,"A hole, opening"
lūngan,n,A barrio
lungsi,n,The disagreeable smell
lungsit,n,The sharpness
lungun-lungun,n,Intestines
lunyut,adj,"Soft, flabby"
lupa,n,"Appearance, form, figure"
lupput,adj,"Bulging, swelling out, protruding"
luuy,n,"Pleasantness, agreeableness, sweetness"
luuya,n,Ginger
luwan,n,"Load, cargo, freight"
luwang,n,The hold
luy luyit,n,A cicada-like insect
luya,adj,Having lost
maꞌmun,n,The congregation
maana,n,"Meaning, interpretation, version, translation"
maas,adj,"Old, matured"
māga,n,The morning star
mahalayak,adj,Widely known
mahi,adv,Why
makru,n,Something considered harmful
maksud,n,"Intention, purpose, aim"
malikata,n,Codified speech
malul,n,The sampaguita plant
mamarahi,adj,"Sufficient, enough"
manas,adj,"Streaked, spotted"
mandiri,n,Madre de cacao
mandul,n,A foreman
manis,n,"Beauty, charm"
mangga,n,The common Cebu mango
manghud,n,A younger sibling
manyatakan,adj,"Apparent, evident, obvious, plain"
marat,n,Opium
masaalla,n,Metaphorical speech
masi,adv,"Still, yet, continually"
masjid,n,A mosque
māsu,n,A sledgehammer
mata taynga,n,A representative
mata-manuk,n,An eyelet stitch
mattan,adj,"Evident, clear, true"
mawt,n,Death
maylang,n,Sulphur
maysa,n,"Black pepper, white pepper"
millat,n,A sanctuary
minyak kapa,n,Mentholated oil
misal,n,The comb
misay,n,A mustache
miskin,adj,"Poor, indigent"
mitru,n,A meter
muꞌjijat,n,"An inexplicable phenomenon, mystery"
muꞌmin,n,The dead
muddal,n,"Capital, stock"
mulārat,adj,"Injurious, harmful, offensive"
mulliya,adj,"Holy, consecrated, special"
mumpaat,n,"Good result, benefit, profit"
mumud,n,"Prepuce, foreskin"
mundu,n,"An outlaw, robber, bandit"
mūpu,n,The evening star
murtad,adj,"Faithless, wishy-washy, vacillating, profane"
musim,n,Season
musing,n,Dirt
mustahil,adj,"Impossible, preposterous, absurd"
mutallak,adv,"Most, totally"
naga,n,A dragon
nahas,adj,Very unlucky
nahut,n,Slenderness
najal,n,A pledge or promise
nanaꞌ bawtut,n,A person
nanam,n,"Taste, flavor"
napaka,n,Daily subsistence
napas,n,Breath
napsu,n,"Appetite, desire, covetousness"
niyat,n,"Intention, purpose, desire, ambition"
ngān,n,A name
ngiꞌ atay,n,"Anger, resentment, ill feeling"
nyuknyuk,n,Fineness
pād,n,The palm
padjak,n,A pawnshop
padpad,n,A medicinal plant
paga-paga,n,A shelf
pagal,n,An enclosure
pagat,n,"A scratch, superficial wound"
pagi,n,Rayfish
pagkahi,n,A fellow
pagkuwan,adv,"Might, may, perhaps"
paguy,n,"Evacuee, escapee"
pāidda,n,"Advantage, value, gain, benefit"
pais,n,"Skin, rind"
pakarayaw,adv,Intensifier of an adj
pakaw,n,A thick coating
pakil,n,A Muslim priest
pakul,n,A saddle
pāla,n,A shovel
palalihan,n,"A platform, stage"
palangay,n,"Disposition, nature, character, behavior"
palanggana,n,A brass tray
pali-palihan,n,A belief
palitaan,n,"A lamp, light"
palmata,n,"A gem, precious stone"
pamistiun,n,Kidney
pamūngmūng,n,Angry words
panayam,n,A game
panda,n,A shawl
panhid,n,A scar or mark
paninggad,n,Obscene or lewd words
panji,n,"A flag, banner"
pannyagaan,n,Necessities of life
pannyakilan,n,Sideburns
pansul,n,"A faucet, bibcock, spigot"
pansung,n,High bridge or arch
pantuk,adj,"Expert, skillful"
panun,n,"Associates, friends, playmates"
pangak,n,The stench of urine
pangantin,n,Bride or bridegroom
panganud,n,Clouds
pangdan magi,n,Fragrant pandanus
panggal,n,A basket-shaped fish trap
panggiꞌ bagun,n,"Camote, sweet potato"
panggiꞌ kahuy,n,Cassava
panggis,n,A bruise
panggung,n,A temporary shelter
panghilas,n,A charm
pangiyan,n,A queen
pangkal,adj,"Profane, irreverent"
pangkat,n,Lineage
pangkut,n,Smallpox
pangpang,n,"A cliff, precipice"
pangtungud,n,A cousin
pangtusan,n,Sprouted seed of coconuts
pangtuud,n,King post
panyabut,v,"act mag-, -um-"
panyap,adj,"Complete, equipped"
papad,adj,Flat
papagan,n,A frame
papakan,n,"A charm, talisman, amulet"
papata,n,A description
parahal,adv,"Nevertheless, yet, however"
parang,n,Grass
parangkang,n,"A galleon, sailing ship"
parat,n,Intense heat
