Tausug,Part of Speech,English Translation
si?ka?,,characterized by spread legs
pis?i ~ pisni,,cheek
putput-an,,chimney
su?su?,,China
ma-p??,,choosy
tutuy,,clitoris
lapat,,closed
gabun,,cloud
andum,,cloud (dark)
ma-gabun,,cloudy
apul,,coagulated blood
ma-sapla,,coarse
niyug,,Cocos nucifera
l?d,,come down from higher ground
uwi?,,come or go home
ma-s??,,commit a mistake
tubul,,constipation
sawan,,convulsions (can be fatal in children)
tambuk,,corpulence
pakay-an,,costume
talaw-an,,cowardly
kaga?,,crab (generic)
pikuk,,crippled (by having the arm bent
libat,,cross-eyed
bata?-an,,crosspiece fastened across a canoe to support and balance the outriggers
uma,,cultivated field or farm
utas,,cut something apart
ma-lindum,,dark
lindum,,darkness
tugun,,date
uta?,,debt
layu?,,distance
mag-tu,,divide into three equal parts
iru?,,dog
manuk,,domestic chicken
ma-lantik,,double-jointed
umaw,,dumb (unable to speak)
puli?,,dust or tiny particle that lodges in one�s eye
linug,,earthquake
kaun,,eat
iklug,,egg
siku,,elbow (the belief of the old people is that if someone gives something to someone and then takes it back
gata?,,emulsion of coconut (a liquid preparation resembling milk obtained by soaking fresh grated coconut in water and then squeezing out the juice)
banta,,enemy
kaya,,energy
tuput,,enough
tabla,,even
talaw,,excessive fear
mata,,eye (as an organ of sight)
kilay,,eyebrow
hulug,,fall or drop
ma-layu?,,far
bulan puasa,,fasting month for Muslims
kukku,,fingernail
gulamay,,finger
ubus,,finished
ma-hugut,,firm
paksiyu,,fish or meat cooked in vinegar
lima,,five
dali?,,flange
datag,,flat
kutu,,flea
ka-kaun,,food
pag-kaun,,food
siki,,foot
dagit,,for a bird of prey to seize or snatch something
dukut,,(for a flammable substance) to ignite or be ignited
mag-kilat,,for a flash of lightning to occur
t??,,for a liquid or the surface it is on to drip
mag-sumpit,,(for a liquid) to squirt
mag-linug,,for an earthquake to occur
pag-linug-an,,for an earthquake to occur
lantik,,for a person or animal�s torso or limb to bend in the opposite direction from usual
mag-sa?l�d,,for a vessel to run aground
sa?l�d,,for a vessel to run aground
gatas-un,,for a woman to begin to lactate
lanay,,for candy
mag-taul,,for dogs to howl
taul,,for dogs to howl
tudlu?,,forefinger
?ilu,,(for one�s teeth) to have such feeling
mag-lublub,,for people or animals to wallow in the mud
ka-kil?-h-an,,for people to be acquainted or familiar with each other
ma-sagsag,,(for something) to break off
sabit,,for something to hook
mag-daplis,,for something to scrape
mag-suba?,,(for the moon) to rise
suba?,,(for the moon) to rise
gila,,frantic with delight
puas,,free (from some obligation)
unah-an,,front
una,,go ahead or before
sigi-sigi,,going on in rapid succession
para?,,grass
sa?lag,,grated cassava roasted in a pan
uban,,gray hair on an older person
ma-?apkap,,grope for a woman in the dark (for illicit sexual intercourse)
ka-para?-an,,ground covered with grass
tu?a?,,half
tukul,,hammer
pusas,,handcuffs
li-li?ug-an,,having a collar (as a dress)
pukul,,having an amputated leg
kukuh-an,,having long fingernails or toenails
ma-rukut,,having or producing a heavy mark
pi?kit,,having six (or more) fingers on one hand
?,,head
pasu?,,heat
pasu? atay,,hot temper
ma-pasu?,,hot
pila,,how much? how many?
apa pay,,husk of rice
bahug-an,,immerse cooked food in liquid
bahug,,immerse cooked food in liquid
manuk-un,,induce someone to fight with someone else
akkal,,intellect
puun-an,,invest money
p??,,island
katul,,itchiness (as of skin disease
sumbi?,,jagged
kabus,,lacking
pilay,,lame
kawil,,large fishhook used for trolling
b?t,,large sea cucumber
huli,,last
ubud,,leaf-bud or heart of palm trees
alimatuk,,leech-like creature that lives on mangrove trees
s??,,light (of a torch
pa?kat,,lineage
ki?ki?,,little finger
luslus,,loose and about to fall down
ma-huka?,,loose
huka?-an,,loosen something
d?ga,,maiden girl
balunut,,Mangifera caesia Jack ex Wall. Anacardiaceae
ma?ga,,Mangifera indica
ka-bakkaw-an,,mangrove swamp
kuriput,,mean in spending or giving money
tu?a?-an,,middle
gatas,,milk
dawa,,millet
bala?,,misfortune
s??,,mistake
ba?kudu,,Morinda bracteata Roxb.
lumut,,moss
liyu-lumut,,mossy
ma-lumut,,mossy
buud,,mountain
simud,,mouth
sudsud,,name given to several sedges (grow on riverbanks and in swamps)
kiput,,narrowness (in size or space)
ukkil,,native sculpture
p�sud,,navel
li?ug,,neck
bukun,,negator of nominals
d?m,,night (as opposed to day)
siyam,,nine
nipa?,,nipa palm: Nipa fruticans (used for roofing and walling)
ka-,,nominalizer indicating the manner of doing an action: �his getting there� (cp. �go or take something to a place�)
di?,,no
ugtu,,noontime
punud,,not hollow
ma-sanam,,occupied or filled with ants (as a house)
kugita,,octopus
layug,,(of a coconut tree or a person)
lubug,,(of a liquid) turbid
tiku?,,(of an object) crooked
kabus-kabus,,(of a person) abnormal
tugub,,(of a truck or boat) deeply laden
hinug,,(of fruit) ripe
tunaw,,(of ice or a tablet) dissolved
tamana?,,(of people or animals) barren
ta?a?,,(of speech) stammering
daan,,old (in the sense of worn
hukuman dapit,,one-sided judgment
maka-minsan,,one time
mag-banta,,oppose one another
ma?a,,optional particle used to indicate plurals (with some nouns refers to that one and his associations or companions)
hulas,,perspiration
dapit,,(pertaining to direction) at the side of
pa-nanum,,plants
la?pas,,plunder
lassun,,poison
usuk,,pole
dalima?,,pomegranate: Punica granatum L.
lumba?-lumba?,,porpoise
ka-n,,possessive plural of personal names
puga?,,press or squeeze a liquid (out of something
halga?,,price
datu-?,,prince
untu?,,profit
-ku,,pronoun: first person singular non-topic actor
nana?,,pus
li?ug-an,,put a collar on something
kunu?,,quotative particle for indirect speech
ambaw,,rat
sakap,,ready
kil?,,recognition
pula,,red
kap�n,,remainder
bakkaw,,Rhizophora spp.
ubu?,,ridgepole
tu?u,,right hand
ka-batuh-an,,rocky area
ka-tuput-an,,room
gabuk,,rotten
suysuy,,rumor
lumbiya,,sago flour (a starchy foodstuff derived from the soft interior of the sago palm)
lura?,,saliva
buha?in,,sand
kigkig,,sandpaper
gunti?,,scissors
dagat,,sea
ikut,,selfishness
ma-tuyu?,,seriously interested and enthusiastic (in doing something so as to attain something desired)
pitu,,seven
hika-pitu,,seventh
tawmpa?,,shoe
ulak-an,,shuttle
sakit,,sickness
na,,signals the arrival of the time of an expected event or the attainment of an expected state: now
pa,,signals the continuance of an event already occurring or of a state already existing
pilak,,silver (the metal)
ugam,,simple stomatitis (characterized by the formation of tiny ulcers on the mucosa of the mouth)
m?su,,sledge hammer
t?g,,sleep
hurus,,slipped down
l?r-un,,slope
inut-inut,,slowly
tu?aw,,small red tick (lives in rotten wood)
kagaw,,small vermin found in sores
ma-lunuk,,soft (as hair)
lunuk,,softness (as of a mattress)
pa?-akkal,,(someone) prone to fool people
paspas-i,,speed up! (imper.)
lawa?,,spider
sawali?,,split bamboo woven into sheets (used for walling)
kaba?,,spotted
ugbus,,sprout (of a plant)
sumpit,,squirting
tag-andak,,stamp the feet
p?t-an,,sticky rice (a variety of rice that becomes sticky when cooked)
ma-bahu?,,stinky
tiyan,,stomach
batu,,stone
kusug,,strength
ma-kusug,,strong
tubu,,sugarcane
palig,,surgeonfish
atis,,sweetsop
haba? dila?,,talkative (lit. �long tongue�)
utan,,taro when the leaves are not yet open (eaten as a vegetable)
jati?,,teak
ha-?-pu?,,ten
aya,,term of respect for male nobility (sultan
tagar-an,,that which one is waiting for
d?n-an,,the cause (of something)
pikut,,the common housefly
tumbu?,,the end of the spinal cord above the buttocks (where a tail would grow)
pusu?,,the flower of the banana (used as a vegetable)
pag-taul,,the howling of a dog
gi-nhawa,,the inner part of a person
gulis,,the lines of the palm (of the hand)
pintal,,the main string attached to a kite (that holds it firmly in balance)
gasa,,the mantle (of a pressure lamp or an Aladdin lamp)
ikug mata,,the outer eyelid (�tail of the eye�)
lupis,,the outer layer of the abaca plant (usually used as string)
kakak,,the quack of a duck
la?it,,the sky
takla?,,the sound made by flapping the tongue against the roof of the mouth
?ilu,,the uncomfortable feeling at the edge of one�s teeth felt when hearing a scratchy sound
tanug,,the volume (of a sound or voice)
suba?-an,,the waxing of the moon
paa,,thigh
ma-nipis,,thin (as person
kuwan,,thingamajig
kuppis,,thin
nipis,,thinness
uhaw,,thirsty
tanud,,thread
t?,,three
hugut,,tightness (as of a knot
?h-an,,tip
ma?-guyud,,to abduct (someone
mag-gatas,,to add milk to (something)
mag-pakay,,to adopt something (as an idea
mag-uyun,,to agree with (another�s opinion)
mag-tugut,,to allow
datu?,,to arrive
datu?,,to arrive
hu?suy,,tobacco pipe
limas,,to bail
limas-an,,to bail
sawan-un,,to be affected by a convulsion
datu?-an,,to be a recipient
mag-lubak,,to beat
ma-gila,,to become frantic with delight
ma-pilay,,to become lame
luslus,,to become loose and slide down
ma-sumbi?,,to become nicked
mag-sakit,,to become painful
sakit,,to become painful
ma-hinug,,to become ripe
mag-ikut,,to become selfish or stingy
mag-tamana?,,to become sterile
mag-nipis,,to become thin or thinner
nipis,,to become thin or thinner
hugut,,to become tight or tighter
ma-lubug,,to become turbid or muddied
lupay,,to become weary
muti?,,to become white
tubul-un,,to be constipated
tuyu?-un,,to be earnest
ma-limun,,to be entirely covered
duwa-un,,to be in twos
kabus-un,,to be lacking in
kulluk-un,,to bend
mag-tuwad,,to bend over with the buttocks raised
mag-piku?,,to bend (something
ukab,,to be open or about to open
ma-lanus,,to be or become a spinster or an old bachelor
pag-suba?-un,,to be or become crazy
ka-katul-an,,to be or become itchy
mag-hipus,,to be or become quiet (implies an end
ma-li?ga?,,to be or become tipsy
ugam-un,,to be or beome afflicted with stomatitis
d?m-an,,to be overtaken by the night
ka-tanum-an,,to be planted on (a plot of land)
ma-puas,,to be settled
mag-kutup,,to bite or take a nip of something (usually hot chili peppers)
kutkut-un,,to bite (something)
ka-dugu?-an,,to bleed
mag-dugu?,,to bleed
mag-p?tu,,to blow a whistle
mag-suntuk,,to box or sock (someone)
lubid,,to braid something
lubir-un,,to braid something
mag-bugtu?,,to break (something
sagsag-un,,to break (something) off
da?da?,,to broil or roast something (as fish) on the embers
kiskis,,to brush one�s teeth
ma?-gisgis,,to brush one�s teeth
mag-kuta?,,to build a fort or stone wall
mag-taban,,to capture property
ka-puli?-an,,to catch dust or any tiny particle in one�s eye
sipit,,to catch something between two fingers
daan-un,,to cause something to be old or worn out (esp. by constant wearing
mama?-un,,to chew betel nut
ma?-p??,,to choose
p??-un,,to choose
mag-p??,,to choose
li?ku?,,to coil (something)
mag-li?ku?,,to coil up
ma-ta?ta?,,to come part
k-ari,,to come (to the speaker or somewhere near the speaker
m-ari,,to come (to the speaker or somewhere near the speaker)
mag-s??,,to commit a mistake
s??,,to commit a mistake
mag-lassun,,to commit suicide by taking poison
timba?-un,,to consider something (in making a choice)
talus,,to continue
su?ut-un,,to contract or be afflicted with asthma
mag-iyut,,to copulate
mag-latag,,to cover an area thoroughly
gili?-un,,to crank something
mag-gili?,,to crank something
mag-taytay,,to cross a bridge (to a place)
taytay,,to cross a bridge (to a place)
mag-sabit,,to cross an object over a like object
mag-pipis,,to crush or press (something so that it becomes fine or soft
mag-ta?is,,to cry or weep
ta?is,,to cry or weep
mag-kulu?,,to curl someone�s hair
sipi?,,to cut a stalk of bananas into hands
tastas,,to cut or tear stitches so as to open a seam
gunti?,,to cut something (with scissors or an instrument resembling scissors)
kutuh-an,,to delouse someone
mag-ka-pagas,,to develop a hoarse voice
mag-dahun,,to develop leaves
gamut,,to develop roots
mag-gamut,,to develop roots
mag-ka-sakit,,to develop sickness
mag-tunaw,,to dissolve
tunaw-un,,to dissolve
mag-tu?a?,,to divide something in half
