word,type,replacement,emotion,source
condena,,to condemn,Neutral,pdf
condenao,,condemned,Neutral,pdf
condicion,,condition,Neutral,pdf
condición,n,condition,Neutral,pdf
condolencia,,condolence,Neutral,pdf
coneccion,,connection,Neutral,pdf
conejo,,rabbit,Neutral,pdf
conele,,him/her,Neutral,pdf
confesa,"""to confess","to tell the truth, to speak up",Neutral,pdf
confia,"""to trust",to put oneâs confidence to someone,Neutral,pdf
confianza,"""trust",confidence,Neutral,pdf
confirmacion,,confirmation,Neutral,pdf
conforma,"""to conform",agree,Neutral,pdf
conformacion,,conformation,Neutral,pdf
conforme,"""conformed",agreed,Neutral,pdf
confía,v,trust,Neutral,pdf
conoce,"""to know","recognize, familiarize",Neutral,pdf
conosihan,,to know each other,Neutral,pdf
consejo,,council,Neutral,pdf
consequia,,thirsty,Neutral,pdf
considera,,to consider,Neutral,pdf
consinti,"""to contain","consist, to tolerate",Neutral,pdf
consola,,console,Neutral,pdf
construccion,,construction,Neutral,pdf
construcción,n,construction,Neutral,pdf
consuenìo,,sleepy,Neutral,pdf
consueño,adj,sleepy,Neutral,pdf
consulta,"""to consult",to seek for an advice,Neutral,pdf
conta,,to count,Neutral,pdf
contene,"""to contain",consist,Neutral,pdf
contento,,contended,Neutral,pdf
contesta,"""to answer","respond, reply",Neutral,pdf
contestacion,"""answer","response, reply",Neutral,pdf
contestación,n,"answer, response, reply",Neutral,pdf
contigo,"""with you",to you,Neutral,pdf
contigo ta ama,,i love you (informal),Neutral,pdf
continua,"""to continue",pursue,Neutral,pdf
continualmente,"""continually",continuously,Neutral,pdf
contra,"""against","contra, opposite, versus",Neutral,pdf
contrallo,"""enemy",foe,Neutral,pdf
contratajan,,to go or stand against,Neutral,pdf
contribucion,,contribution,Neutral,pdf
contribución,n,contribution,Neutral,pdf
contribui,,to contribute,Neutral,pdf
controla,,to control,Neutral,pdf
controlao,,controlled,Neutral,pdf
convence,"""to convince","persuade, influence",Neutral,pdf
convencido,"""convinced","persuaded, influenced",Neutral,pdf
convencion,"""convention","gathering, conference",Neutral,pdf
convención,n,"convention, gathering, conference",Neutral,pdf
convensido,"""convinced","persuaded, influenced",Neutral,pdf
conversa,"""to speak","converse, talk",Neutral,pdf
conversacion,"""conversation",talk,Neutral,pdf
conversación,n,"conversation, talk",Neutral,pdf
conversada,"""talk","talking, speaking, conversing",Neutral,pdf
converti,"""to convert","transform, change",Neutral,pdf
convertido,"""converted","transformed, changed",Neutral,pdf
conviene,,used to make someone realize that he/she did something bad and that he deserves it; good for you.,Neutral,pdf
conviene con vos! ama pa con ele.,,you deserve it! go and love him/her again,Neutral,pdf
copia,"""to copy","imitate, impersonate",Neutral,pdf
corazon,,heart,Neutral,pdf
corazón,n,heart,Neutral,pdf
corona,,crown,Neutral,pdf
corre,,fast,Neutral,pdf
corridor,,runner,Neutral,pdf
corré,v,run,Neutral,pdf
corta,"""to cut off","strike, ax, slice, chop, trim",Neutral,pdf
cortador,,cutter,Neutral,pdf
corte,,court,Neutral,pdf
cortina,,curtain,Neutral,pdf
corto,"""short","brief, scant",Neutral,pdf
cosa,"""what",which,Neutral,pdf
cosa de vos nombre?,,what's your name? (informal),Neutral,pdf
cosa di uste nombre?,,what's your name? (formal),Neutral,pdf
cosa hora tu man check-in,,what time is check-in,Neutral,pdf
cosa hora tu man check-out,,what time is check-out,Neutral,pdf
cosa hora ya,,what time is it,Neutral,pdf
cosa su gracia?,,what's your name? (very formal),Neutral,pdf
cosa tu nombre?,,what's your name? (informal),Neutral,pdf
cosa ya hora,,what time is it,Neutral,pdf
cosas,,things,Neutral,pdf
cosina,,to cook rice,Neutral,pdf
costao,,side,Neutral,pdf
costumbre,"""character","custom, attitude, temperament",Neutral,pdf
cre,,to believe,Neutral,pdf
crea,"""to create","make, establish, invent",Neutral,pdf
creacion,,creation,Neutral,pdf
creación,n,creation,Neutral,pdf
creador,,believer,Neutral,pdf
credito,,credit,Neutral,pdf
crici,,to grow up,Neutral,pdf
cricida,,growth,Neutral,pdf
crimen,,crime,Neutral,pdf
criminal,,criminal,Neutral,pdf
cristiano,,christian,Neutral,pdf
cristo,,christ,Neutral,pdf
critica,"""critique",review,Neutral,pdf
critical,,critical,Neutral,pdf
crucifica,,to crucify,Neutral,pdf
crucificao,,crucified,Neutral,pdf
crucificcion,,crucifixion,Neutral,pdf
cruz,,cross,Neutral,pdf
crédito,n,credit,Neutral,pdf
cuaderno,,notebook,Neutral,pdf
cuando,,when,Neutral,pdf
cuanto,"""how much",how many,Neutral,pdf
cuanto el pasaje para de la gas station,,how much is the fare to the,Neutral,pdf
cuanto el pasaje para ir la hospital,,how much is the fare to the,Neutral,pdf
cuanto el pasaje para mala hotel,,how much is the fare to the hotel,Neutral,pdf
cuanto el pasaje para na la pulis,,how much is the fare to the,Neutral,pdf
cuanto el pasaje parana la farmacia,,how much is the fare to the,Neutral,pdf
cuanto este,,how much is this,Neutral,pdf
cuarto,"""room",hall,Neutral,pdf
cubardon,"""coward",fearful,Neutral,pdf
cubri,"""to protect","hide, cover, fill",Neutral,pdf
cuchara,,spoon,Neutral,pdf
cuchara malabao,,gossiper,Neutral,pdf
cuchina,,a female person who is disgusting,Neutral,pdf
cuchinadas,"""disgusting","dirty, unpleasant",Concern,pdf
cuchino,,a male person who is disgusting,Neutral,pdf
cucho,,whisper,Neutral,pdf
cucho-cucho,,whispering,Neutral,pdf
cuento,,story,Neutral,pdf
cuero,,leather,Neutral,pdf
cuerpo,,body,Neutral,pdf
cueva,,cave,Neutral,pdf
cuga,"""hanged with rope","arm, hand or anything around the neck",Neutral,pdf
cuida,,to take care,Neutral,pdf
cuidao,,taken cared,Neutral,pdf
cuji,,to catch,Neutral,pdf
culebra,,snake,Neutral,pdf
culpa,"""fault","sin, blame, guilt",Neutral,pdf
culpable,,culpable,Neutral,pdf
cultiva,,to cultivate,Neutral,pdf
cultivao,,cultivated,Neutral,pdf
cumpleanìo,,birthday,Neutral,pdf
cumpleaño,v,birthday,Neutral,pdf
cupal,,smegma,Neutral,pdf
cura,"""to cure","treat, heal",Satisfaction,pdf
curada,"""cure","treatment, healing",Neutral,pdf
curso,"""course","way, track, path",Neutral,pdf
cusi,,to cook,Neutral,pdf
cusina,,to cook rice,Neutral,pdf
cása,n,"house, home",Neutral,pdf
córre,adj,fast,Neutral,pdf
daan,adj.,old/used,Neutral,pdf+web
dabung,n.,bamboo shoot,Urgency,pdf+web
dagami,n.,rice stalks,Neutral,pdf+web
dagta,n.,sap,Neutral,pdf+web
dalag,n.,mudfish,Neutral,pdf+web
dalaga,n.,maiden,Neutral,pdf+web
dalagita,,female teen or teenager,Neutral,pdf
dalaguita,n.,teen,Neutral,pdf+web
dalasucan,,compressed,Neutral,pdf
dalasukan,adj.,crowded/packed tight,Neutral,pdf
daldalera,adj.,chatterbug,Neutral,pdf+web
dale,v.,to give,Neutral,pdf+web
dale aviso,v.,to notify,Neutral,pdf+web
dale presta,v.,to lend,Neutral,pdf+web
dalih,v.,to hurry,Neutral,pdf+web
dama,n.,checkers game,Neutral,pdf+web
damas,,ladies,Neutral,pdf
dana,v,harm,Distress,pdf+web
danao,n.,mud pond,Concern,pdf+web
dano,n,injury,Distress,pdf+web
dasah,n.,dried banana leaves,Neutral,pdf
dasug,adj.,packed tightly,Neutral,pdf
daw,adv.,allegedly,Neutral,pdf+web
dayaw,v.,to seek contest,Neutral,pdf
dayun,adv.,immediately,Neutral,pdf+web
daña,v.,to harm,Distress,pdf
daño,n.,injury,Distress,pdf
de,"""of",from,Neutral,pdf
de ... yo,,i'm from ...,Neutral,pdf
de adentro,prep.,from within,Neutral,pdf
de alisto,adv.,quickly,Neutral,pdf
de alla alla,,one who lives in a very far place,Neutral,pdf
de antemano,adv.,beforehand,Neutral,pdf
de antes,adj.,former,Neutral,pdf
de desde,adv.,from,Neutral,pdf+web
de donde lugar tu?,,where are you from? (informal),Neutral,pdf
de donde lugar usted?,,where are you from? (formal),Neutral,pdf
de donde lugar vos?,,where are you from? (coarse),Neutral,pdf
de edad,"""aged",old,Neutral,pdf
de loco,,foolish,Neutral,pdf
de loco se,,thatâs foolish,Neutral,pdf
de nada,,you're welcome,Neutral,pdf
deamon,pro.,ours,Neutral,pdf
deaton,pro.,ours,Neutral,pdf
debajo de,prep.,under,Neutral,pdf
debe,n.,debt/owe,Neutral,pdf+web
debejun,adj.,deft ridden,Neutral,pdf
deber,n.,obligation,Neutral,pdf+web
deberas,n.,truth,Neutral,pdf+web
deberasan,adj.,truthful,Neutral,pdf
deberasan ba. talli pa el luz,,itâs true. iâm telling the truth.,Neutral,pdf
debuenas,adj.,lucky,Neutral,pdf+web
decada,n,decade,Neutral,pdf+web
decae,v.,to decline,Neutral,pdf+web
decano,,dean,Neutral,pdf
decencia,n.,decency,Neutral,pdf+web
decendencia,,descendance,Neutral,pdf
decendiente,,descendant,Neutral,pdf
decidi,,to decide,Neutral,pdf+web
decidido,,decided,Neutral,pdf
decidí,v.,to decide,Neutral,pdf
decision,n,decision,Neutral,pdf+web
decisión,n.,decision,Neutral,pdf
declama,v.,to declaim,Neutral,pdf
declamación,n.,declamation,Neutral,pdf
declara,"""to declare",pronounce,Neutral,pdf
declaracion,,declaration,Neutral,pdf
declaración,n.,declaration,Neutral,pdf
declaración jurado,n.,affidavit,Neutral,pdf
declarado,adj.,declared,Neutral,pdf
decoracion,,decoration,Neutral,pdf
decoración,n,decoration,Neutral,pdf
dedica,"""to dedicate",offer,Neutral,pdf
dedicao,,dedicated,Neutral,pdf
dedo,,finger,Neutral,pdf
defectivo,"""defective","blemished, damaged, deficient",Neutral,pdf
defecto,"""defect","blemish, damage, deficiency",Neutral,pdf
defende,"""to defend","back up, protect",Neutral,pdf
defensa,,defense,Neutral,pdf
deja,"""to leave","leave off, give up, forsake, quit, stop, abandon, let, discontinue",Neutral,pdf
deja conmigo!,,leave me alone!,Neutral,pdf
dejalo,"""to leave","leave off, give up, forsake, quit, stop, abandon, let, discontinue",Neutral,pdf
dejao,"""left","left behind, forsaken, abandoned",Neutral,pdf
del,"""of",from,Neutral,pdf
deleitosa,"""pleasurable","lovely, delightful",Neutral,pdf
delicioso,"""delicious",yummy,Neutral,pdf
deluvio,,big calamity,Urgency,pdf
demanda,,demand,Neutral,pdf
demonio,,devil,Neutral,pdf
demostra,"""to demonstrate",to show or present,Neutral,pdf
demostracion,,demonstration,Neutral,pdf
demostrativo,,demonstrative,Neutral,pdf
denoche,"""evening",night,Neutral,pdf
dentro,"""in",inside,Neutral,pdf
depende,,to depend,Neutral,pdf
deportacion,,deportation,Neutral,pdf
deportación,n,deportation,Neutral,pdf
deposito,,deposit,Neutral,pdf
deprecia,"""to depreciate","devalue, devaluate",Neutral,pdf
depreciacion,,depreciation,Neutral,pdf
depreciación,n,depreciation,Neutral,pdf
depreciao,,depreciated,Neutral,pdf
derecha,,right,Neutral,pdf
derecho,"""straight","straightforward, direct, right",Neutral,pdf
derepente,,suddenly,Neutral,pdf
derrama,,to spill out,Neutral,pdf
derreti,,to melt,Neutral,pdf
derretido,,melted,Neutral,pdf
desaparece,"""to fade out","clear off, die out, vanish, disappear, go",Distress,pdf
desata,"""to untie","unfasten, loose, detach, unbind",Neutral,pdf
descansa,,to rest,Neutral,pdf
descanso,,rest,Neutral,pdf
desconoce,"""to ignore",disown,Neutral,pdf
desconocido,"""unknown",unfamiliar,Neutral,pdf
descuento,,discount,Neutral,pdf
desde,"""of",from,Neutral,pdf
desembarca,,to disembark,Neutral,pdf
deseo,"""desire",like,Neutral,pdf
desesperao,"""desperate",eager,Neutral,pdf
desierto,,desert,Neutral,pdf
desmaya,"""to dismay",disappoint,Neutral,pdf
desobedece,,to disobey,Frustration,pdf
desobediencia,,disobedience,Neutral,pdf
desobediente,,disobedient,Neutral,pdf
desperta,"""to wake up","arise, revive",Neutral,pdf
desperto,,awake,Neutral,pdf
despierto,"""awake","awoke, wakeful, not sleeping",Neutral,pdf
despues,,after,Neutral,pdf
destorba,,to disturb,Neutral,pdf
destrosa,"""to destroy","crush, damage, wreck, demolish, smash, ruin, overthrow",Distress,pdf
destrosao,"""destroyed","crushed, damaged, wrecked, demolished, ruined, overthrown",Distress,pdf
destroso,"""destroyer",wrecker,Neutral,pdf
destruccion,"""destruction",wreck,Neutral,pdf
destrucción,n,"destruction, wreck",Neutral,pdf
determina,"""to determine",identify,Neutral,pdf
detras,"""behind",at the back,Neutral,pdf
deveras,"""true",factual,Neutral,pdf
deverasan,"""truth",fact,Neutral,pdf
devolve,"""to return","take back, pay back, put back, hand back, replace, repay",Neutral,pdf
devoto,,devotee,Neutral,pdf
di,,of,Neutral,pdf
dia,,day,Neutral,pdf
diamon,,our (exclusive),Neutral,pdf
diamun,,our (exclusive),Neutral,pdf
diaton,,our (inclusive),Neutral,pdf
diciplina,,to discipline,Neutral,pdf
dicipulo,"""disciple",follower,Neutral,pdf
dicta,,to dictate,Neutral,pdf
diente,"""tooth",teeth,Neutral,pdf
diferencia (1),"""difference","variance, distinctness, contrast, discrepancy",Neutral,pdf
diferente,"""different","various, varied",Neutral,pdf
dificil,"""difficult","hard, tough, tricky, stiff",Neutral,pdf
dificultad,"""difficulty","trouble, hitch",Frustration,pdf
diila,"""their",theirs,Neutral,pdf
dimio,"""my",mine,Neutral,pdf
dinigrido,"""black spot",usually on the skin or external part of the body,Neutral,pdf
dinigrido man se dituyo un ojos. quien contigo ya supla?,,your eye is black. who hit you?,Neutral,pdf
dios,"""god","lord, master",Neutral,pdf
directa,"""direct",straight,Neutral,pdf
directiva,"""directive",guideline,Neutral,pdf
director,"""director","head, leader, principal, manager, supervisor",Neutral,pdf
dirriti,,to melt,Neutral,pdf
dirritido,,melted,Neutral,pdf
disbruna,"""to crash","to smash, to damage",Distress,pdf
discubri,"""to discover","to find out, to investigate",Neutral,pdf
disculpa,"""to excuse",forgive,Neutral,pdf
discurso,"""discourse","speech, utterance, address",Neutral,pdf
discusion,"""discussion","argument, debate",Neutral,pdf
discusión,n,"discussion, argument, debate",Neutral,pdf
discuti,"""to discuss","debate, contest, argue, talk over, talk out",Neutral,pdf
discutijan,"""to discuss","debate, contest, argue, talk over, talk out",Neutral,pdf
dispensa kumigo,,sorry,Neutral,pdf
disperta,"""to wake up","arise, revive",Neutral,pdf
dispidi,"""to die",pass away,Neutral,pdf
dispierto,,awake,Neutral,pdf
distancia,,distance,Neutral,pdf
distinguido,,distinguished,Neutral,pdf
distorba,,to disturb,Neutral,pdf
distorbao,,disturbed,Neutral,pdf
distorbo,,disturbance,Neutral,pdf
distribui,"""to distribute","allocate, dispense, give out, share",Neutral,pdf
disuyo,"""his","her, hers",Neutral,pdf
dituyo,"""your",yours,Neutral,pdf
diutay,"""small","short, undersized, little, cute",Neutral,pdf
diutay se,,very big,Neutral,pdf
dividido,"""divided","shared, split",Neutral,pdf
division,"""division","share, proportion",Neutral,pdf
doble,,double,Neutral,pdf
dol,"""like","similar, typical",Neutral,pdf
dolencia,"""pain","ache, discomfort, distress, agony, anguish, harm, hurt",Distress,pdf
dolor,"""pain","ache, discomfort, distress, agony, anguish, harm, hurt",Distress,pdf
dolorido,"""in pain","ached, discomforted, anguished, hurt, harmed",Neutral,pdf
donde,"""where",at or in what place,Neutral,pdf
donde esta el bano,,where is the nearest toilet,Neutral,pdf
donde esta el casillas,,where is the nearest comfort room,Neutral,pdf
donde esta el hospital,,where is the nearest hospital,Neutral,pdf
donde esta el hotel,,where is the nearest hotel,Neutral,pdf
donde esta el inodoro?,,where's the toilet / bathroom?,Neutral,pdf
donde esta la farmacia,,where is the nearest pharmacy,Neutral,pdf
donde tu anda?,,where are you going?,Neutral,pdf
drento,"""in","inside, within",Neutral,pdf
duda,"""doubt","distrust, suspicion, uncertainty, mistrust",Neutral,pdf
duele,"""painful","ached, discomforted, anguished, hurt, harmed",Neutral,pdf
duele na orejas,,irritable,Neutral,pdf
duelo,,timing,Neutral,pdf
dulce,,sweet,Neutral,pdf
dulce el comida,,the dish is sweet,Neutral,pdf
dura,,slow,Neutral,pdf
durante,"""during",at that time,Neutral,pdf
durmi,,to sleep,Neutral,pdf
durmido,"""sleeping",asleep,Neutral,pdf
duro,"""hard","firm, hardened, callous, heartless, inhuman, stony-hearted",Neutral,pdf
duyan,,cradle,Neutral,pdf
década,n.,decade,Neutral,pdf
ear,n.,oreja,Neutral,pdf
earwax,n.,cerillas,Neutral,pdf
eclipse,n.,eclipse,Neutral,pdf+web
eco,,echo,Neutral,pdf
economia,n,economy,Neutral,pdf+web
economico,adj,thrifty,Neutral,pdf+web
economía,n.,economy,Neutral,pdf
económico,adj.,thrifty,Neutral,pdf
edad,n.,age,Neutral,pdf+web
edición,n.,edition,Neutral,pdf
edificio,n.,building,Neutral,pdf+web
educa,v.,to educate,Neutral,pdf+web
educacion,,education,Neutral,pdf+web
educación,n.,education,Neutral,pdf
educado,adj.,educated,Neutral,pdf+web
educao,,educated,Neutral,pdf
educativo,,educational,Neutral,pdf
efectivo,adj.,effective,Neutral,pdf+web
efecto,n.,effect,Neutral,pdf+web
eficiente,adj.,efficient,Neutral,pdf+web
egorias,n.,pretensions,Neutral,pdf
ejecutivo,n.,executive,Neutral,pdf
ejemplo,n.,example,Neutral,pdf
ejercicio,n.,exercise,Neutral,pdf
eksacto,"""exact","enough, accurate, precise, proper",Neutral,pdf
eksamen,,to examine,Neutral,pdf
eksepto,,except,Neutral,pdf
el,adv.,The,Neutral,pdf
elabora,"""to elaborate",to expound,Neutral,pdf
elaboracion,,elaboration,Neutral,pdf
ele,pron.,he/she,Neutral,pdf+web
eleccion,,election,Neutral,pdf+web
elección,n.,election,Neutral,pdf
electricidad,n.,electricity,Neutral,pdf+web
electrico,,electric,Neutral,pdf
elegante,adj.,elegant,Neutral,pdf+web
elegido,n.,elected,Neutral,pdf
elegí,v.,elect,Neutral,pdf
elemento,"""element",component,Neutral,pdf
elepante,,elephant,Neutral,pdf
elimina,v.,to eliminate,Neutral,pdf+web
elitista,n.,elite,Neutral,pdf
eléctrico,adj,electric,Neutral,pdf
embajada,n.,embassy,Neutral,pdf+web
embajador,n.,ambassador,Neutral,pdf+web
embalsama,v.,to embalm,Neutral,pdf+web
embaraza,v.,to embarrass,Neutral,pdf
embarazo,n.,embarrassment,Neutral,pdf
embarca,v.,to embark,Neutral,pdf+web
embiste,v.,to fight back,Urgency,pdf
emblandia,v.,to soften,Neutral,pdf
embroma,v.,to joke,Neutral,pdf
embudo,n.,funnel,Neutral,pdf
embusterias,"""lies",foolishness,Neutral,pdf
embustero,n.,liar,Frustration,pdf
embusterías,n.,lies,Neutral,pdf
embutido,n.,sausage,Neutral,pdf
emergencia,n.,emergency,Urgency,pdf+web
eminente,adj.,eminent,Neutral,pdf
emocion,,emotion,Neutral,pdf+web
emocional,,emotional,Neutral,pdf
emoción,n.,emotion,Neutral,pdf
empaca,v.,to pack up,Neutral,pdf
empachado,adj.,indigestion,Neutral,pdf
empanada,n.,meat pie,Neutral,pdf
emperador,,emperor,Neutral,pdf
empeza,"""to begin",to give,Neutral,pdf
empirico,,empirical,Neutral,pdf
enamora,"""to court",to love,Neutral,pdf
enamora ya gaha yo con ele? ta mira uste?,,am i going to court her already? what do you think?,Neutral,pdf
enante,"""earlier",a while ago,Neutral,pdf
enante pa yo ya habla cae baã±a. cabrito gaja este ele oh.,,i have already told you to take a bath. maybe you are a goat.,Neutral,pdf
enantes,"""earlier",a while ago,Neutral,pdf
enbuenamente,,well,Neutral,pdf
encabeza,"""to head",to lead,Neutral,pdf
encadena,,to chain,Neutral,pdf
encanta,"""to enchant",to tempt,Neutral,pdf
encantao,"""enchanted",tempted,Neutral,pdf
encarga,,to entrust,Neutral,pdf
encargao,,entrusted,Neutral,pdf
encima,"""atop","on top, on, above, over",Neutral,pdf
encontra,"""to meet","to encounter, to find",Neutral,pdf
encuentro,"""encounter",meeting,Neutral,pdf
endenantes,"""earlier",a while ago,Neutral,pdf
enfatico,,emphatic,Neutral,pdf
enfermedad,"""sickness","disease, illness",Concern,pdf
enfermo,,sick,Concern,pdf
enfrente,,in front,Neutral,pdf
engranda,,to raise,Neutral,pdf
engrandao,,raised,Neutral,pdf
engrande,"""big",great,Neutral,pdf
enorme,"""enormous","big, huge",Neutral,pdf
enseguida,"""immediately",right away,Neutral,pdf
ensenìa,"""to teach","coach, guide, show",Neutral,pdf
enseña,v,"teach, coach, guide, show",Neutral,pdf
ensucia,"""to poop",to defecate,Neutral,pdf
entacto,,enactment,Neutral,pdf
entende,,to understand,Neutral,pdf
entendimiento,,understanding,Neutral,pdf
entero,,whole,Neutral,pdf
enterra,,to burry,Neutral,pdf
entierro,"""interment","entombment, funeral.",Neutral,pdf
entonces,"""then",so,Neutral,pdf
entra,"""to enter",to get inside,Neutral,pdf
entrada,,entrance,Neutral,pdf
entrega,"""to hand in",to hand over,Neutral,pdf
entregao,"""handed in",handed over,Neutral,pdf
entremedio,,in the middle or center,Neutral,pdf
entretenido,,entertaining,Neutral,pdf
entrevista,"""talk","interview, conversation",Neutral,pdf
entusiasmo,,enthusiasm,Neutral,pdf
entusiasta,,enthusiast,Neutral,pdf
envia,,to send,Neutral,pdf
envidia,,to envy,Neutral,pdf
envolve,"""to wrap",cover,Neutral,pdf
envuelto,"""wrapped",covered,Neutral,pdf
envía,v,send,Neutral,pdf
equipo,,equipment,Neutral,pdf
equivalente,,equivalent,Neutral,pdf
error,,error,Neutral,pdf
escalera,"""ladder",stairs,Neutral,pdf
escapa,,to escape,Neutral,pdf
escapao,,escaped,Neutral,pdf
esclama,,to exclaim,Neutral,pdf
escoje,,to choose,Neutral,pdf
escojido,,chosen,Neutral,pdf
esconde,"""to hide",keep,Neutral,pdf
escondido,"""hidden",kept,Neutral,pdf
escribi,,to write,Neutral,pdf
escribido,,written,Neutral,pdf
escritura,"""script",writing,Neutral,pdf
escuela,,school,Neutral,pdf
escupi,,to spit,Neutral,pdf
escusa,,to excuse,Neutral,pdf
ese,,that,Neutral,pdf
esos,,those,Neutral,pdf
espacio,,space,Neutral,pdf
espacioso,,spacious,Neutral,pdf
espada,,sword,Neutral,pdf
espanta,"""to terrify","horrify, scare, frighten, surprise",Neutral,pdf
espantao,"""terrified","horrified, scared, frightened, surprised",Neutral,pdf
especial,,special,Neutral,pdf
especialista,,specialist,Neutral,pdf
especialmente,"""specially",especially,Neutral,pdf
espejo,,mirror,Neutral,pdf
espera,,to wait,Neutral,pdf
esperanza,,hope,Neutral,pdf
espina,,spine,Neutral,pdf
espinal,,spinal,Neutral,pdf
espiritu,"""spirit",soul,Neutral,pdf
espiritual,,spiritual,Neutral,pdf
espiritualidad,,spirituality,Neutral,pdf
esplica,,to explain,Neutral,pdf
esposa,,wife,Neutral,pdf
espíritu,n,"spirit, soul",Neutral,pdf
esquema,,scheme,Neutral,pdf
esquenita,,narrow way,Neutral,pdf
esquina,,corner,Neutral,pdf
esta,"""to stay",to live,Neutral,pdf
estaba,"""i came from",i had/have been from,Neutral,pdf
establecimiento,,establishment,Neutral,pdf
estado,"""status",state,Neutral,pdf
estasyon del pulis,,where is the nearest police station,Neutral,pdf
estatal,,state,Neutral,pdf
este,,this,Neutral,pdf
este caballero hay paga para todo,,this gentleman will pay for everything (formal),Neutral,pdf
este dama hay paga para todo,,this lady will pay for everything (formal),Neutral,pdf
este hombre hay paga para todo,,this gentleman will pay for everything (informal),Neutral,pdf
este mujer hay paga para todo,,this lady will pay for everything (informal),Neutral,pdf
estima,,to estimate,Neutral,pdf
estimao,,estimated,Neutral,pdf
estomago,,stomach,Neutral,pdf
estorba,,to disturb,Neutral,pdf
estorbao,,disturbed,Neutral,pdf
estos,,these,Neutral,pdf
estrangero,,stranger,Neutral,pdf
estrella,,star,Neutral,pdf
estrellas,,stars,Neutral,pdf
estricto,,strict,Neutral,pdf
estudia,"""to study",to learn,Neutral,pdf
estudiante,,student,Neutral,pdf
estupendo,"""marvelous",stupendous,Neutral,pdf
eterna,,eternity,Neutral,pdf
eternal,,eternal,Neutral,pdf
eternamente,,eternally,Neutral,pdf
etiqueta,"""etiquette",ethics,Neutral,pdf
evacua,"""to evacuate",to vacate,Neutral,pdf
evacuacion,,evacuation,Neutral,pdf
evacuación,n,evacuation,Neutral,pdf
evidencia,,evidence,Neutral,pdf
evita,"""avoid",refrain,Neutral,pdf
evos,,you (very informal),Neutral,pdf
evos ya,,used to tell that someone acts like somebody.,Neutral,pdf
evos ya! cosa bo ta pensa comigo,"no sabe?""","you already! what do you think of me, i donât know it?",Neutral,pdf
exacto,"""exact","accurate, enough",Neutral,pdf
examen,"""to examine","search, test, investigate",Neutral,pdf
examina,"""to examine","search, test, investigate",Neutral,pdf
examinacion,"""test","search, investigation, examination",Neutral,pdf
examinación,n,"test, search, investigation, examination",Neutral,pdf
excepcion,,exception,Neutral,pdf
excepción,n,exception,Neutral,pdf
excepto,"""except","apart from, aside from",Neutral,pdf
exclama,,to exclaim,Neutral,pdf
excusa,,to excuse,Neutral,pdf
existi,,to exist,Neutral,pdf
expensivo,"""expensive","costly, pricey",Neutral,pdf
experiencia,,to experience,Neutral,pdf
explica,,to explain,Neutral,pdf
expresion,,expression,Neutral,pdf
extende,,to extend,Neutral,pdf
extranjero,,stranger,Neutral,pdf
extranìa,"""to doubt",to feel unusual thing about someone or something,Neutral,pdf
extravagante,,extravagant,Neutral,pdf
extraña,v,doubt,Neutral,pdf
fabrica,v.,to fabricate,Neutral,pdf+web
fabuloso,,fabulous,Neutral,pdf
facha,,to kick,Neutral,pdf
fachada,,kick,Neutral,pdf
facil,,easy,Neutral,pdf+web
facilidad,,facility,Neutral,pdf
facilita,v.,to facilitate,Neutral,pdf+web
facultad,,faculty,Neutral,pdf
falda,n.,skirt,Neutral,pdf+web
falla,v.,to fail,Frustration,pdf+web
fallada,n.,failure,Neutral,pdf
fallado,adj.,defective,Neutral,pdf
fallao,"""abnormal","broken-down, failed",Distress,pdf
falsifica,v.,to falsify,Neutral,pdf
falsificación,n.,forgery,Neutral,pdf
falsificado,adj.,falsified,Neutral,pdf
falso,adj.,fake,Neutral,pdf+web
falta,adj.,lack,Neutral,pdf+web
familia,n.,family,Neutral,pdf+web
familiares,n.,intimates,Neutral,pdf
famoso,adj.,famous,Neutral,pdf+web
fanfarronadas,adj.,boastings,Neutral,pdf
fanfarrón,n.,showoff,Neutral,pdf
fantasia,"""fantasy",imagination,Neutral,pdf
fantastico,"""fantastic",amazing,Neutral,pdf
fantasía,n.,fantasy,Neutral,pdf
fantástico,adj,"fantastic, amazing",Neutral,pdf
fanático,n.,zealot,Neutral,pdf
farmacia,n.,pharmacy,Neutral,pdf+web
farol,n.,lantern,Neutral,pdf+web
fastidia,v.,to get fed up,Neutral,pdf+web
fastidioso,adj.,fastidious,Neutral,pdf+web
fatigado,adj.,fatigued,Neutral,pdf
favor,n.,favor,Neutral,pdf
favor escribi ese,,please write it down,Neutral,pdf
favorable,adj.,favorable,Neutral,pdf
favorece,v.,to favor,Neutral,pdf
favorite,,favorite,Neutral,pdf
favorito,adj.,favorite,Neutral,pdf
fe,n.,faith,Gratitude,pdf+web
febrero,n.,February,Neutral,pdf+web
fecha,n.,date,Neutral,pdf+web
felices pascua,,easter greetings,Neutral,pdf
felicidad,"""happiness",joy,Neutral,pdf
felicidades,n.,congratulations,Gratitude,pdf+web
felicita,v.,to congratulate,Neutral,pdf+web
feliz,"""happy","grateful, joyful",Gratitude,pdf
feliz cumpleaã±os,,birthday greetings,Neutral,pdf
feliz pascuas,,christmas greetings,Neutral,pdf
feo,adj.,ugly,Neutral,pdf+web
fertil,,fertile,Neutral,pdf
fertilidad,,fertility,Neutral,pdf
fiador,n.,guarantor,Neutral,pdf+web
fianza,n.,bail,Neutral,pdf+web
ficha,,bottle cap,Neutral,pdf
