word,type,replacement,emotion,source
alternative,,alternative,Neutral,pdf
alto,,tall masc,Neutral,pdf
altor,,height,Neutral,pdf
altura,,height,Neutral,pdf
alucina,,to hallucinate,Neutral,pdf
alucinacion,,hallucination,Neutral,pdf
alumbra,"""to light",to illuminate,Neutral,pdf
alumno,"""alumnus",student,Neutral,pdf
ama,,to love,Neutral,pdf
ama yo contigo,,i love you,Neutral,pdf
amable,,lovable,Neutral,pdf
amarao,"""tied","tied up, fastened, secured",Neutral,pdf
amarea,,to feel dizzy,Neutral,pdf
amareao,,dizzy,Neutral,pdf
amargoso,"""bitter gourd",bitter squash,Neutral,pdf
amarillo,,yellow,Neutral,pdf
amarra,"""to tie","to tie up, fasten, to bind, to secure",Neutral,pdf
amarrao,"""tied","tied up, fastened, secured",Neutral,pdf
amber,,hunger,Neutral,pdf
ambicion,"""ambition","dream, goal",Neutral,pdf
amiga,,friend fem,Neutral,pdf
amigo,,friend masc,Neutral,pdf
amistad,"""friendship","camaraderie, comradeship",Neutral,pdf
amo,"""owner","leader, boss, master, proprietor",Neutral,pdf
amor,,love,Neutral,pdf
amula,,sharpen,Neutral,pdf
amulador,,whetstone,Neutral,pdf
anak,"""child","children, son, daughter",Neutral,pdf
anay,,yet,Neutral,pdf
ancho,"""wide","spacious, big",Neutral,pdf
anda,,to go,Neutral,pdf
anda ya yo,,goodbye (said by the one leaving),Neutral,pdf
animal,,animal,Neutral,pdf
animo,"""courage",bravery,Neutral,pdf
anoche,,last night,Neutral,pdf
ansina,,like this,Neutral,pdf
anteayer,,the other day,Neutral,pdf
antes,,long before,Neutral,pdf
anuncia,,to announce,Neutral,pdf
apa,,mute,Neutral,pdf
apaga,"""to extinguish","to switch off, to turn off",Neutral,pdf
apas,,to go after,Neutral,pdf
apenas,"""immediately after",right after,Neutral,pdf
aplaya,"""sea",beach,Neutral,pdf
aprende,"""to learn",to study,Neutral,pdf
aproba,"""to approve",to agree,Neutral,pdf
aprobao,"""approved",agreed,Neutral,pdf
aprovecha,"""to benefit",to gain,Neutral,pdf
aquel,,that,Neutral,pdf
aquellos,,those,Neutral,pdf
aqui,,here,Neutral,pdf
aquí,adv,here,Neutral,pdf
ara,,to harvest,Neutral,pdf
arena,,sand,Neutral,pdf
ariba,"""up",above,Neutral,pdf
armao,,armed,Neutral,pdf
armas,,firearm,Neutral,pdf
arranca,"""to eradicate",to remove,Neutral,pdf
arregla,"""to fix",to arrange,Neutral,pdf
arreglao,"""fixed",arranged,Satisfaction,pdf
arreglo,,arrangement,Neutral,pdf
arresta,,to arrest,Neutral,pdf
arrestao,,arrested,Neutral,pdf
arria,"""to extend (a rope)",to drive away,Neutral,pdf
arriba,"""up",above,Neutral,pdf
arrima,,to move (something),Neutral,pdf
arripinti,"""to repent",to regret,Neutral,pdf
arripintido,"""repented","regretful, remorseful",Neutral,pdf
arripintimiento,"""repentance","regret, remorse",Neutral,pdf
arrogante,,arrogant,Neutral,pdf
arroz,,uncooked rice,Neutral,pdf
arroz arroz,,very serious,Neutral,pdf
arte,,art,Neutral,pdf
articulo,,article,Neutral,pdf
arya,"""to extend (a rope)",to drive away,Neutral,pdf
asa,"""to grill","to hope, to expect",Neutral,pdf
asao,"""roasted",grilled,Neutral,pdf
asegun,,according to,Neutral,pdf
asegura,"""to make sure",to ensure,Neutral,pdf
aseguranza,,sureness,Neutral,pdf
asegurao,,sure,Neutral,pdf
asegún,prep,according to,Neutral,pdf
asignatura,,assignment,Neutral,pdf
asistencia,,assistance,Neutral,pdf
asisti,"""to assist",to attend,Neutral,pdf
asocia,,to associate,Neutral,pdf
asquia,,to disgust,Neutral,pdf
astronaut,,astronaut,Neutral,pdf
asumi,"""to assume",to take on,Neutral,pdf
asunto,"""topic","subject, concern, issue, affair, matter, thing, business, proposition",Concern,pdf
asusta,"""to scare","to frighten, to alarm",Neutral,pdf
asustao,"""afraid","scared, frightened",Neutral,pdf
