Tausug,Part of Speech,English Translation
away	an emphatic refusal (to do something); no! (shouted by someone who is very angry) [c65546e3cdce751c8ee58c25730fba48]	show set
pugad	a nest [9d5304e2aecb500bfdbfbc9eccbc6478]	show set
pula-pula	a newborn infant [9ce600bb0c79b1c1007621266bf4b11f]	show set
sakit atay	"anger, hatred, bitterness of feeling [b24ec106c249baa641585230b7b62c1a]"	show set
su?ka?	"an indoor game usually played by two people on a wooden block shaped like a boat, and having shallow holes along the sides where shells, pebbles, or any counters are dropped by each player [edf794c9ba2785644df376f79d1b0ee9]"	show set
p?tu	"an instrument for making whistling sounds, a whistle [e3f7a0b74d6d700682cc8ca45ba72db9]"	show set
sumpit-an	"an instrument used for blowing a pointed missile with the aid of a wad of kapok or cotton, blowgun (made of bamboo or a material with the same texture as bamboo; has a sight at the end away from the mouth opening) [bc73a4a63ce59486d099efeaef2347f2]"	show set
likup	"an iron tool used for making holes in bamboo, wood, leather, and the like; gimlet, auger [0175b50b420de90dbee2d0a72edf4425]"	show set
lisa?	"a nit, the egg of the human louse [6e3633732d87abcd7d70f8d705fdb9be]"	show set
atis	"Annona squamosa, sweetsop, sugar apple [2bf189972857a75cf189ab3ad1443ca9]"	show set
ba?ka?	a one-piece dugout canoe with or without outriggers [40b40cd072a5f2b3b6b3ec206490831e]	show set
pasa?	"a pair, set (of material things) [9a2a5cd343d765fb04ae64ce0b8bcc90]"	show set
suput	a paper bag [bed752eb68bef29ba1487524ed73bfa7]	show set
sipak	"a part or half of something, a split section [c501f83c7bae54958781b706645e0e87]"	show set
bayad	a payment [03bd2ecb8456dc5ebe86ed552c85b752]	show set
sipit	"a peg, clothespin, hairpin [5c2bf494779dc7b7d4c0ef4c3e70064c]"	show set
sipat	"a physical sense, natural power or faculty (of a person); sight, hearing, taste, smell; type; manifrestaion, evidence; appearance, attribute, quality [44f8802fce2faafd8276ae79ec054556]"	show set
t?g-an	a place to sleep [cef3d9d72e132b844881ee4aa24d3683]	show set
gata?-gata?	a plamt: Spilanthes iabadicensis [331220106c272b9033d2630b61683fc5]	show set
katam	a plane (the carpenter�s tool used for smoothing wood) [00265315251c03bbd4c06ca042560ba3]	show set
tukun	a pole used to propel a small boat in shallow water [95c58018ea1df03687bc6dc07e2825be]	show set
mama?	a prepared betel nut chew [2535a06080a966f3212924e1a6598db7]	show set
kamalig	a (private) storehouse for harvested grain [00f35f7b7d7229b8df7e165584d12252]	show set
kapay	a propeller (of a boat or ship) [8ea8f96031cf04cdc102b6a1b90f9508]	show set
kasaw	"a purlin for a roof, horizontal cross-piece of a roof [4a6a89bbc9b6dfc08fd39d9f097ffc8f]"	
ka-p??-p?-an	archipelago [465bc6b6c125a0cfede189aeaa27bcef]	show set
suki?	a regular customer or purchaser [103b3a7465df6f2ccf0d0cfa5731f55c]	show set
l?su	a ribbon [f4f89ade2cf312ab1f54d94355a6e1c5]	show set
gusuk	a rib (the bone) [d9d98dad3e20eaf33b0ff198af002e49]	show set
iluk	armpit [84cbc9152c9352bf97352a8da0d9e9b3]	show set
gamut	a root (of a tree or plant) [f6b9603b4e907192bea429b955def421]	show set
lubid	a rope made of intertwisted strands of fiber (often hemp) [fe707641124f0604e37e3f71ec9af961]	show set
tabid-tabid	a rope-shaped confection made of flour or pounded cassava [4ae987421a5f6a04945b53eb982aa116]	show set
layag	a sail (the square sail used on small boats) [7f3263120f233d0250679eae24e07a9e]	show set
timba?-an	"a scale, balance (for weighing); to make (one�s love, treatment, etc. of people) equal; be equaled [77c4c3a45f64a7a41e069c4a858b95d7]"	show set
li-limas	a scoop for bailing (usually a coconut shell) [51962d9894d820bc61b06e801865bc57]	show set
tambiluk	"a sea worm that lives on trees, logs, and sides of wooden ships [c78b134ac4b9f64778deda2b8bd5b207]"	show set
ti-lawas-an	"a segment or section, including one node (of bamboo, sugarcane, etc.) [9eb036a6131f27aac493ca6af5422e9c]"	show set
kuliik	"a shriek, whinny; sharp, shrill outcry (from a person or animal, usu. in pain) [5cf16169b292081b7e1728b0ce4fb963]"	show set
saput	"a shroud, white cloth used to wrap a corpse for burial [f3d8b149a1730cbf52eef04e92ea67bf]"	show set
tabak	"a single-legged (brass, silver, or in folktales gold) tray, esp. used by royalty [c3ece875e7028279945c9e4dcab47e1a]"	show set
kilat	a (slight) streak of lightning without thunder; heat lightning; any flash of light [6dc1238069af2cc5bc7e8877068e9856]	show set
p�saw	a small knife (esp. used in preparing a betel nut chew) [e4933a9fcb99ff73f24b96cc38b6a76c]	show set
sapa?	"a small river, stream [3981c8d36a4e332caba41fd1969d15c7]"	show set
gayu?	"a small vessel made of coconut shell, bamboo or tin, used to scoop up water [15883d3b24954655374db8a688c093a0]"	show set
ka-ti?ug	a sound [e8a6792be0e0242d5a68219324ad0445]	show set
suru?	a spoon [4031c08c5a421a9f169e0c2cdb358848]	show set
mata-mata	a spy [ce431332fc2ca7eb298f673ad93075ae]	show set
ta?kay	"a stem, stalk (of a plant); handle (of a ladle, cup, pan, etc.) [064a958ab6caab9538cbc87e33c3809e]"	show set
tika?	"a step, pace (as in walking) [68961f934da49454248631d4061e7214]"	show set
su?ut	asthma [c8a4ba34cfada217ea979ae9bab8360a]	show set
pa-?iram	a strong and sudden craving for a particular kind of food (during the early stages of pregnancy) [e95eac4ddb6db41af10891d685620386]	show set
pudpud	"a stub, a part (of something) left after the main part is gone or used up [46108f170c18780f78ab9114b429928d]"	show set
bubog	a tall forest tree: Sterculia foetida [1db4051c2ae781de1ba07bacf08f6834]	show set
tulda	"a tarpaulin, tent [48697faee47d1b3acd20c29dd3c0b113]"	show set
tunuk	"a thorn, spine (of plants and fish) [cc33180bc86b625f45074ee48ad36eb3]"	show set
gi-gisgis	a toothbrush [460b6578836668079eac3b32179f2070]	show set
dula?	a tray laden with food [b7cba4a7aa33d6949e6419fdbb903835]	show set
buggus	a tree: Acalypha amentacea Roxb. [6b5c853bdf46ac3496c4ae46c56d3f12]	show set
balunug	a tree: Buchanania arborescens (Bl.) Anacardiaceae [70f8415edfeb99ef6e1fb1d8b3ede9fd]	show set
buta-buta	a tree: Excoecaria agallocha L. [2f2d9cbdb7b09a7c2cea5d36561680b4]	show set
kayam	a tree: Inocarpus fagifera [84f9768ad2bd7db96835404304d05756]	show set
yakal	a tree: Shorea gisok [74acc716e53ef158590b02fdf697416a]	show set
tabun	"a type of quail a little smaller than a chicken, which lays eggs in sandy holes it digs [bfe5d95c5557ed5ad85c1279ab93d44a]"	show set
ina?-un	aunt [3824bbe9ba1e02675ee44b0ebafbcb3f]	show set
si?al	"a wedge, shim [6a7d1e52a05a67442cdcab5234fa0e78]"	show set
latigu	a whip with a rod and an lash attached at one end [acac4fcae631e038fecc4019d5c46b44]	show set
lubbak	"a wide depression or hole in the ground, a hollow on the head (as caused by a blow), a depressed scar on the skin [3fdd8fb56f70eafdbb6e6593ff17b4a8]"	show set
ba-bai	"a woman, female (applies particularly to humans, but is sometimes used of animals or plants) [30811ee72f62807b22e148b034ee3fc9]"	show set
kampil	a woven container of coconut leaves used for keeping fruit or raw or cooked provisions [fc5f82377f85716aa61ae6fe582fb334]	show set
bahu?	"bad odor, stench, smell [9675ea35a5f3465c6a3225c9ec8a9b90]"	show set
umpan	bait for animals or fish [dffc59560f9e82fb9fec0c77b5119635]	show set
upaw	bald on the crown of the head; bald pate [a036e13282b69cdd9a1e8babf3de4eb2]	show set
patu?	bamboo [82960335036ff4ddc124b78af7777ee4]	show set
gakit	banded with continuous winding with overlapping ends not joined together [b96b3c26e89463fdf359e75727759885]	show set
da?da?-un	be broiled or roasted on the embers [d3d94d280c46cdadac62805131007e29]	show set
lumut-un	become covered with moss [74409d7156bb15ff276dd27fb5afa9bd]	show set
lunuk	"become soft, tender; for a person to become receptive, for a person�s heart to soften [52fafa03478e100880e58da5cf4b6fd9]"	show set
kaun-un	be eaten by someone [8063bd3bb7fcc351ca44fbca58ebd8d3]	show set
luwa-an	be ejected from the mouth [28293a05234569406e84462a161dc2ea]	show set
pukpuk-un	"be hammered, pounded [d58f97bf18d47352b6a862bae8a85f14]"	show set
ka-hulih-an	"behind, as of a person that follows in a line; at the last, as of a series of things; rear [f28fb9f73ad04081b5ff24562da23fbb]"	show set
ulih-an	"behind, as of a person that follows in a line [eba95dbe841a1887bbcaba79c6c20b8a]"	show set
la?aw-un	be infested with (botflies) [da86bc4947b57b40caaecf92c95749ab]	show set
kulluk	"bent (as a twig), curved, warped [20116806c0d37e84218a6741310c6ff3]"	show set
ku?ku?	"bent over, curled up (from illness, age, fear, or joy; thus fearful, trembling, cowering) [45ce650142d959bf270f0c0f760a32a2]"	show set
manuk-manuk	bird; flying insect [a15f3e573b967402966915611b3fbc97]	show set
ma-pait	bitter (as medicine) [d751fd91c2bb11e40afb462ef2c89a1e]	show set
pait	bitterness [e45bbd83418f126a4c0145f583b3b5c4]	show set
dugu?	blood; one's life; a blood relative [f7b260c5e2780c0dc0f1ff786a9e5c75]	show set
ma-pundul	blunt [a4a216eba2a727a65a10fee9d2af5ea2]	show set
tumpul	"blunt, dull, not sharp [ab3ceb757ee5ba0e8ae080d0d4b8605a]"	show set
ma-bukug	bony (as a fish) [053aa57a4837b546a47f5f1e580a676d]	show set
la?aw	"botfly, a species of large fly [8d303f98c039a6055baae84b6ba574a4]"	show set
utuk	brain [8b373710bcf876edd91f281e50ed58ab]	show set
tumbaga	"brass, copper, bronze [cda14f1116522325c0f0fc46dadc58bb]"	show set
duru?	breast [5d7d36319ea48472c1a963b9c6c2b252]	show set
sinag	"brightness, radiance [149c3a4655961d34b5d600b9c2c4c8a8]"	show set
mag-da?da?	broil or roast something on the embers (as meat or fish) [badf1bc5246d98f4955a40ce1f5f342a]	show set
paspas-i	brush it off (imper.) [1d596444fd6bf23dd558e646c06057b3]	show set
dukut	burnt rice (at the bottom of the rice pot) [73aeeb94114118465988620fda564035]	show set
buli?	buttocks [04b5ca14dfe2f8374cd650d36ed353cf]	show set
gatus-an	"by the hundreds, in terms of hundreds [15a11f6013f7bdffa568acf2d69cabfb]"	show set
kubal	callus [e75067bc7ec2c861c468984958779e1c]	show set
usu?	carry someone in a litter or by interlacing the hands to form a seat [41887d03face6077d1281e7ada3cd465]	show set
puun	"cause; origin, source, beginning; the first wife (of multiple wives); a tree, trunk (of a tree); money invested, capital investment [7a09c5312bf0f95c9ced134c400a1121]"	show set
kapuk	"Ceiba pentandra Tree cotton, kapok [2aa476d5f54599551170f37363f46b04]"	show set
si?ka?	characterized by spread legs [f04d3f67eba1ac2189b13d590c9762dc]	show set
pis?i ~ pisni	cheek [af238f7fa55be68cec87e800e3606c04]	show set
putput-an	"chimney, smoke shaft, flue, funnel (as of a steamship) [157abe6d137012e18c8eeece4b44be22]"	show set
su?su?	China [8a7d7ba288ca0f0ea1ecf975b026e8e1]	show set
ma-p??	"choosy, fastidious, hard to please, discriminating [a20f6cabc38adb730067ac833d582324]"	show set
tutuy	"clitoris, the female organ homologous to the male penis [48aa1fc995229624dffdad227897d7bf]"	show set
lapat	"closed, stopped, plugged (as a hole, leak, opening) [066330f3d727f375ede32226838c49df]"	show set
gabun	cloud [a1234b3161b4fbfdfb96dd576b65bbea]	show set
andum	cloud (dark) [dacb7dcaf852841c24e618655d670129]	show set
ma-gabun	cloudy [f3639baeb4530db03ef930eb16073f61]	show set
apul	coagulated blood [821a4b7468085675aaa457fff3af389e]	show set
ma-sapla	"coarse, rough to the touch; (esp. of dry food on the tongue); coarse (in texture); unpleasant (to the ear) [fe73a15d2666a7f8c426313b9d3dd281]"	show set
niyug	"Cocos nucifera, the coconut tree (not included semantically under generic ); five growth stages of the coconut fruit are terminologically recognized [edbc8a5948ec173694752c6fed4f7842]"	show set
l?d	"come down from higher ground, travel downhill [845041d7b05e436870eb350b79d63a9f]"	show set
uwi?	come or go home [b68c5fcb0505fbdfa92a005fb3ed3f75]	show set
ma-s??	"commit a mistake; to suffer dislocation (of a nerve or bone), sprain oneself [5a617241f52275d9f22f4ccbf262ee73]"	show set
tubul	constipation [9409592362c345b4dad04266a7aeccbc]	show set
sawan	convulsions (can be fatal in children) [e7928e03a4e231443e334ed81a34e61d]	
tambuk	"corpulence, fatness, obesity, plumpness, chubbiness [1d51b1b7ea7ea23dd400b9576313907c]"	show set
pakay-an	"costume, formal dress, good clothes [45165aaaa9273e64fe278adc0e6921e7]"	show set
talaw-an	"cowardly, excessively fearful [86d77ad57b6a1ce1a460f6d596edd8a1]"	show set
kaga?	crab (generic) [c86933cd0e873acd60fc7dcf2da2062f]	show set
pikuk	"crippled (by having the arm bent, not from birth) [561df647de28f25841053952ba5df149]"	show set
libat	cross-eyed [ddf4752199624cd665c563c5d04067b9]	show set
bata?-an	crosspiece fastened across a canoe to support and balance the outriggers [59982a57b64dd31c9c39cb73edd7161b]	show set
uma	"cultivated field or farm, rice field [5217e446fc70863696a3afe4eb0ececb]"	show set
utas	"cut something apart, sever something [6c39c1aff443588d2cc3434e4f499142]"	show set
ma-lindum	"dark, having very little light [07d4d5c8c1612e42af54cfbacc0fcc8c]"	show set
lindum	"darkness, deficiency of light [8a38e98adfbf4095f7ed34d375b38601]"	show set
tugun	"date, appointment; something ordered or arranged, word sent; a matter (to speak about to someone) [d37613fcc3b802419fd0acb2a0113399]"	show set
uta?	debt [762f8817ab6af0971fe330dbf46a359a]	show set
layu?	distance [a74ec9c5b6882f79e32a8fbd8da90c1b]	show set
mag-tu	divide into three equal parts [570a06c7afdfc2c7103dd7a1582bc520]	show set
iru?	"dog; a derogatory term for a person, often used in anger to children who disobey or are hard to manage [248331f8640997e8553123d420f506fa]"	show set
manuk	domestic chicken [ace984040f70978f1209d82f93456660]	show set
ma-lantik	double-jointed [f357cd5ef941e9d697e67501fe9a4647]	show set
umaw	dumb (unable to speak) [145688b225385b2ae7eb6f45b036e1e2]	show set
puli?	dust or tiny particle that lodges in one�s eye [822a0ad73966231b281d13b7828070fe]	show set
linug	earthquake [e9ad9c2394f7dc7b6a69fb43e52a7382]	show set
kaun	eat [9a97eda6d89f5c9e84560468a0679707]	show set
iklug	egg [0e9312087f58f367d001ec9bae8f325a]	show set
siku	"elbow (the belief of the old people is that if someone gives something to someone and then takes it back, his elbow will rot) [7eca668bd00b61940a15505bee5b34f9]"	show set
gata?	emulsion of coconut (a liquid preparation resembling milk obtained by soaking fresh grated coconut in water and then squeezing out the juice) [bcff361fcc5267ee83f25027bd13755f]	show set
banta	"enemy, foe, adversary [4e88f5e24faf4aeffb217b51a0bafcc0]"	show set
kaya	"energy, force, vigor, strength; wealth, riches, means [4c4015d30f6af44d03100710148ee97a]"	show set
tuput	"enough, just right [0c044e511650935da1b36ac7fe8c40ee]"	show set
tabla	"even, equal, tied (as in a game or contest) [401d94225c938baebfa24c3aeb5d6c72]"	show set
talaw	excessive fear [82ff5b0032afa33545e628825fb4f68f]	show set
mata	"eye (as an organ of sight); anything circular that is essential to that in which it is contained (as a burner of a stove, the heart of a boil); the holes of a sieve [6e3cec69ccd8fa0c7802d981655ad129]"	show set
kilay	eyebrow [72e04b9ab3e41ff6e3e17ee0700f23b0]	show set
hulug	"fall or drop, as from a height [bf4ca69c8dc72d468126c80b078fdb72]"	show set
ma-layu?	far [17d965747c701d6ffb406cad0f4265dc]	show set
bulan puasa	fasting month for Muslims [3f6175ba274f07b5a738a21a02acc40b]	show set
kukku	"fingernail, toenail, claw; hoof [818b63272c6e30387d3384262f2e320f]"	show set
gulamay	"finger, toe, tentacles of octopus [f3003678f2c7061dde6b2487f2951457]"	show set
ubus	"finished, completed, done [9936863b50c648d7b757bc6651cbe777]"	show set
ma-hugut	"firm, fast, tight, tightly closed; (of one�s faith) strong; (of one�s inner being) not overly emotional or unstable, calm [6f8151aa12ff49675316d569044d8b6b]"	show set
paksiyu	"fish or meat cooked in vinegar, garlic, ginger and salt [86367e5030869c81743b1694f435f091]"	show set
lima	five [30056e1cab7a61d256fc8edd970d14f5]	show set
dali?	flange; buttress of a tree; comb (of a cock) [56a6a3ac1f71a054f12cfd5447d4cc16]	show set
datag	"flat, level (as a piece of land) [d3a4285d288399dd8826183428d000be]"	show set
kutu	"flea, louse (as on human hair or animal�s flesh) [cfa5c284d0151df0aa4835d8b1857329]"	show set
ka-kaun	"food, meal [8c17a0f1efc336994e647368e5ed4d16]"	show set
pag-kaun	"food, meal [8c17a0f1efc336994e647368e5ed4d16]"	show set
siki	foot [d8735f7489c94f42f508d7eb1c249584]	show set
dagit	for a bird of prey to seize or snatch something [3771a6469fc74ebce076b48f728df927]	show set
dukut	(for a flammable substance) to ignite or be ignited [678e5bf431c912a4475041cfda970402]	show set
mag-kilat	for a flash of lightning to occur [be848ce0d843daa999cd75ce58f05a70]	show set
t??	for a liquid or the surface it is on to drip [18cae18d0bd91a7ad1e16edd16fdf6cd]	show set
mag-sumpit	"(for a liquid) to squirt, (for a gas) to escape rapidly; to blow (something out with force), spray a liquid; to shoot something with a blowgun [e937632b14a78d3a7378a324804948b0]"	show set
mag-linug	for an earthquake to occur [2ba1628272f9ee5abcd2ca1f9ddeb864]	show set
pag-linug-an	for an earthquake to occur [2ba1628272f9ee5abcd2ca1f9ddeb864]	show set
lantik	"for a person or animal�s torso or limb to bend in the opposite direction from usual; (for an object) to bend, curl [ac22e3628a217cb6238b468ebac78e28]"	show set
mag-sa?l�d	for a vessel to run aground [c1b5c3b246f06a9a55e24a48e1d2da18]	show set
sa?l�d	for a vessel to run aground [c1b5c3b246f06a9a55e24a48e1d2da18]	show set
gatas-un	for a woman to begin to lactate [89cf23194e07bde09e71c7abc082b110]	show set
lanay	"for candy, butter, lard, soap, tablet, etc. to melt [4a1778ae78a8fec4e2f5d1690572e021]"	show set
mag-taul	for dogs to howl [8fbfb9a7b7037da541b54dc6cbc91b35]	show set
taul	for dogs to howl [8fbfb9a7b7037da541b54dc6cbc91b35]	show set
tudlu?	"forefinger, index finger [b97893a8fd5da3bfffdd7b563bcb036a]"	show set
?ilu	(for one�s teeth) to have such feeling [3a45924bbc5ef8b806a1f1a597ea3412]	show set
mag-lublub	for people or animals to wallow in the mud; for vehicles to get stuck in the mud [6344a25ed0ea9b684c97db564253109d]	show set
ka-kil?-h-an	for people to be acquainted or familiar with each other [a8ce284110112da97de933a52055e0a5]	show set
