Tausug,Part of Speech,English Translation
katul	"itchiness (as of skin disease, lice, or prickly heat) [074b952da164de9611f676f51327faa7]"	show set
sumbi?	"jagged, dented, notched, nicked (as of the edges of cutting tools); hare-lipped [c652e18395fb82c21a46b27f97c717a0]"	show set
kabus	"lacking, incomplete, deficient, premature [e26aceebf38a026a867905a231a559b2]"	show set
pilay	lame [6780237a0c54951693513efb491f7aae]	show set
kawil	large fishhook used for trolling [610e033941984c361cd2a8cecd96d9da]	show set
b?t	"large sea cucumber, trepang [73383d9cc980e77704e0d8c59917f892]"	show set
huli	"last, end, rear [96643ef7e2f092f303dc1cfe702c6104]"	show set
ubud	"leaf-bud or heart of palm trees, used as a vegetable [6ee85618a6034d50d1d38e948c58be6a]"	show set
alimatuk	leech-like creature that lives on mangrove trees [b09f49958329a3c33025004da6072284]	show set
s??	"light (of a torch, candle, etc.) [cfb6093578081461b7101a1d7e08271b]"	show set
pa?kat	lineage; a story (of a building) [24937074079ead95f01527263befa74f]	show set
ki?ki?	little finger [92265d95d3d591072bc30bf081891062]	show set
luslus	"loose and about to fall down, as of pants [005e51117a4ade2f399f318f691c0410]"	show set
ma-huka?	"loose, not tight [d41a2bdc6446d3f56722177111f69e30]"	show set
huka?-an	"loosen something, as of tie or knots, bracelet, lid, tourniquet, or wound dressing [1ca5081dae8110efb18f5629bc6194a3]"	show set
d?ga	"maiden girl, adolescent girl in puberty stage (may also be spoken of some animals) [8c247ef087d0d144cbe771dfad615047]"	show set
balunut	Mangifera caesia Jack ex Wall. Anacardiaceae [e32b7bf03ba8aaf80d5fece1986c6db4]	show set
ma?ga	"Mangifera indica, the common Cebu mango (yellow when ripe) [f3301096d9f2e791ca73c1b7e6c5fa6b]"	show set
ka-bakkaw-an	mangrove swamp [fb1c3bb03f246c027a7e616358696519]	show set
kuriput	"mean in spending or giving money, stingy [ca76287756694be76c28c335404af6f8]"	show set
tu?a?-an	middle [4a548addbfb239bbd12f5afe11a4b6dc]	show set
gatas	milk [ecbdb882ae865a07d87611437fda0772]	show set
dawa	"millet, a cereal grass grown in Jolo and available in the market; Italian millet (Setaria italica) [03cb9ea5d7e978b378d7cd5179fc3859]"	show set
bala?	"misfortune, affliction, plague [7542c8ec371e5995e08460957a8dcfe0]"	show set
s??	"mistake, fault, error, flaw [0707619339ffc315dd39fdce07c2cda3]"	show set
ba?kudu	Morinda bracteata Roxb. [16b3c30b4804064ee23be41b3729f87f]	show set
lumut	moss [06a311b9097555ff46e11ef76b194f6e]	show set
liyu-lumut	mossy [26421fbd4aaadb83bbd3a96f5aed8b5a]	show set
ma-lumut	mossy [26421fbd4aaadb83bbd3a96f5aed8b5a]	show set
buud	mountain [ec6d9c8953ab272295ec0469bbed59ab]	show set
simud	mouth [cb5786412becb979c90f606f25ad4b4f]	show set
sudsud	name given to several sedges (grow on riverbanks and in swamps) [226e7a250db4667b37fc574fe2f2cfe2]	show set
kiput	narrowness (in size or space) [4009ac1c7d47fc16be0d81cbbc18eaeb]	show set
ukkil	"native sculpture, carving [362c89284e7b4db700c47f4af0975d53]"	show set
p�sud	"navel, umbilical cord [1a0433acd432753c4ecae9761f22f2a8]"	show set
li?ug	"neck; neckline, collar [1e3dec4eaecea110a2c789fe9056f61b]"	show set
bukun	negator of nominals [214e00133d13ff8d1c54099360d3b83d]	show set
d?m	night (as opposed to day) [ac4f802f0710b1c68aaee4230f3e9522]	show set
siyam	nine [c785e1ed2950e3e36b1e2ca01f299a54]	show set
nipa?	nipa palm: Nipa fruticans (used for roofing and walling) [03627401f47544411f1c31354d597414]	show set
ka-	nominalizer indicating the manner of doing an action: �his getting there� (cp. �go or take something to a place�) [b6ca9f85f1b1081542981d4cad17453a]	show set
di?	"no, not; negates predicates which have not begun aspect verbs as heads ( �I don�t like you�, etc.) [302475b16496aae3615ec8d6f865579c]"	show set
ugtu	"noontime, mid-day, whe the sun is at its zenith [b425861ae737ad9c726af9e45a32f0c7]"	show set
punud	"not hollow, solid (of a body), sturdy [ae27a5e83f535a9afcae275238c0b692]"	show set
ma-sanam	occupied or filled with ants (as a house) [bf0c96ac5e3de981080f6cd2bb51195b]	show set
kugita	octopus [fcf1eed8596699624167416a1e7e122e]	show set
layug	"(of a coconut tree or a person), very tall [5f98c7ca34e8d9ee89cd37436628268f]"	show set
lubug	"(of a liquid) turbid, muddied [61a164d4d6439ab17241767fce7f16c5]"	show set
tiku?	(of an object) crooked [3b62e9938f5f1c23b6c63c0a950c5cde]	show set
kabus-kabus	"(of a person) abnormal, mentally handicapped [126da21b2e32dc64c6148ba0d36fe766]"	show set
tugub	"(of a truck or boat) deeply laden, overloaded [f34c4ed9f14218a67b4a84772080de2f]"	show set
hinug	(of fruit) ripe [fb495f58cf9413ed66f153ad4a0ed4cf]	show set
tunaw	"(of ice or a tablet) dissolved, melted; (of food) digested [603805af53806d23a9b0608913134a84]"	show set
tamana?	"(of people or animals) barren, sterile [db70a52713194b1bc34d32c6cf7c6a09]"	show set
ta?a?	(of speech) stammering [14afaaaf0e8a2de9fe9b770ff1fa6a59]	show set
daan	"old (in the sense of worn, out-of-date, out of fashion, as of cloth, clothes, shoes, books, or houses) [f21be5e2d2b8fb7dcddcf18fbb97d0b0]"	show set
hukuman dapit	one-sided judgment [1b3d12c783e117ab9f118ce3b8924c76]	show set
maka-minsan	"one time, one time only [216a1ccf16c727622e01553b54517d84]"	show set
mag-banta	oppose one another [70a20405dc782ce5e5c5f85fd81b80cf]	show set
ma?a	optional particle used to indicate plurals (with some nouns refers to that one and his associations or companions) [b58db7b5822edd147aa5b2afdd97a4e4]	show set
hulas	"perspiration, sweat [faa6a08ef21c7f3113488b3effc75c8f]"	show set
dapit	(pertaining to direction) at the side of [a57efe5482c7b9377609777a5d8c1fb4]	show set
pa-nanum	"plants, that which has been planted, a crop [25ea57f52b03ad3abe189618dc9fc510]"	show set
la?pas	"plunder, rob [cd901798571b1a3bcd3b222bb26450f0]"	show set
lassun	poison [35393c24384b8862798716628f7bc6f4]	show set
usuk	"pole, post, stake [730bebcfd08a71e4e61ce2ea27239dde]"	show set
dalima?	pomegranate: Punica granatum L. [328ed757af771a4ac5bd195d75d9d3b3]	show set
lumba?-lumba?	porpoise [c72e9bea2eeb1f1d389492f9cc29a891]	show set
ka-n	possessive plural of personal names [aa2846d69f325a1ee778a8f25a366483]	show set
puga?	"press or squeeze a liquid (out of something, as juice from a fruit, coconut milk from coconut meat, pus from a wound) [56fd07a26665805b55c368fbbda44b88]"	show set
halga?	"price, cost (of something); value [d6dc4893bcb0a3a8786c44ba0ae7be95]"	show set
datu-?	"prince, any male member of a royal family; a rank bestowed on certain people [26152efc7991b03038257578e992f4b6]"	show set
untu?	"profit, gain [e08b5a83eec386de4d87fe8634f87f37]"	show set
-ku	"pronoun: first person singular non-topic actor, causer, and possessor pronoun; I, my, mine, by me [9eb8ce88cf3cc4b0d55a51c24a8a4fe6]"	show set
nana?	pus [4d4ba904b38d85f8001cd15526c82a56]	show set
li?ug-an	put a collar on something [bf90ef2702649bdc33ef53492eb0451f]	show set
kunu?	"quotative particle for indirect speech, he/she says, they say, according to (disclaims responsibility for speech reported); euphonic particle for politeness [fcd32068f88648f75b6f2d9003e988b4]"	show set
ambaw	"rat, mouse [c4226a51ccb8cd8be90af5965a289938]"	show set
sakap	"ready, prepared [5324d45700f405083d9fe495d7da1014]"	show set
kil?	recognition [0c6a50fbc0c4c91601f873caff2d3a56]	show set
pula	red [bda9643ac6601722a28f238714274da4]	show set
kap�n	"remainder, balance, leavings, remnant, ruins, leftovers (as food or clothes) [4da28dc7d5cbb32080b8e1764aafd978]"	show set
bakkaw	"Rhizophora spp., mangrove [29ff7b6711aa5eebce3d0a3c5f418e54]"	show set
ubu?	ridgepole [dbdf8ac0176e12ea8522c107612dea82]	show set
tu?u	"right hand, right side [8003692726ca356b75d3466461967353]"	show set
ka-batuh-an	rocky area [14b664256a44c6a5d771bd8a285c82b5]	show set
ka-tuput-an	"room, space available [438a17f9cf40e51a479ef8aa6e960b00]"	show set
gabuk	"rotten, crumbling, turned to dust (as wood eaten by termites) [2e53f5ff524220e24b2c88a8a73f1600]"	show set
suysuy	"rumor, hearsay, reports not based on definite knowledge, general conversation [0a172e5c4c1fc57685b08731d5d62c21]"	show set
lumbiya	sago flour (a starchy foodstuff derived from the soft interior of the sago palm) [2f1cef58d84a1047bd75abf167c145a6]	show set
lura?	saliva [1e893922a5ddc59deda87b8f38f360cb]	show set
buha?in	sand [88336b5bb2a1cc21bac7cf33fd451270]	show set
kigkig	"sandpaper, anything (such as shark skin) used to polish or smooth a rough surface [0e6a581655d36c5dcbe2c4369a9ad375]"	show set
gunti?	scissors [7d89153387e0f3ffc41641cc4fb91cc1]	show set
dagat	"sea, ocean, ocean water [a094f1100441e6fc68527751ab6f08a3]"	show set
ikut	"selfishness, stinginess [4b0dee4a60e91f30b4535aa0a553238f]"	show set
ma-tuyu?	seriously interested and enthusiastic (in doing something so as to attain something desired) [cae7d4468a28c5b32f360344480a9e57]	show set
pitu	seven [bb3aec0fdcdbc2974890f805c585d432]	show set
hika-pitu	seventh [5098d245aa911c02a50e276087c0b4a9]	show set
tawmpa?	shoe [d8a48e3f0e1322d53d401e3dcb3360db]	
ulak-an	"shuttle, as in weaving [434e9f7319da6305267a4c4a36ac8976]"	show set
sakit	"sickness, illness, pain, soreness, ache [2e4ad66795dcf24662809c27e0184fd9]"	show set
na	signals the arrival of the time of an expected event or the attainment of an expected state: now; signals the occurrence of an event or the attainment of a state sooner than expected: already [f153f804beafe1687ad7eb90d6747165]	show set
pa	"signals the continuance of an event already occurring or of a state already existing; still, more, yet [96672060f389654ae9a3875c447e5c20]"	show set
pilak	"silver (the metal); money, pesos [a894839fc21a3006c5e925ffab61bddc]"	show set
ugam	simple stomatitis (characterized by the formation of tiny ulcers on the mucosa of the mouth) [95a38f5665842ee6fe6bdf863d924e88]	show set
m?su	sledge hammer [a59d69ce872b3f9303525ed4ee00588e]	show set
t?g	sleep [c9fab33e9458412c527c3fe8a13ee37d]	show set
hurus	"slipped down, slid down [fa8bf48645c28f7e255b7f44eb87160f]"	show set
l?r-un	"slope, embankment, downhill area, falling ground [f4844cff1ff59ea697ad640dde04cb4d]"	show set
inut-inut	"slowly, one by one, step by step, little by little [b9494206b6c600dab22b6ffc37e92362]"	show set
tu?aw	small red tick (lives in rotten wood) [f9e322643780f2106d7242fddf49587e]	show set
kagaw	"small vermin found in sores, germs, microbes [82cb961f14ee9c1ec7ec247a0352d890]"	show set
ma-lunuk	soft (as hair); (of the body) weak [560429c334242e1277a51b7ff56c6ac4]	show set
lunuk	softness (as of a mattress); weakness (of the body) [c1119f88058b08d5b217926dde06dc93]	show set
pa?-akkal	"(someone) prone to fool people; one who tricks, dupes, or deceives people [08cebee98c76f7383b31987b6c4da9d3]"	show set
paspas-i	speed up! (imper.) [605e210c4cc18257abc54967cf4a7f4a]	show set
lawa?	spider [f1a81d782dea6a19bdca383bffe68452]	show set
sawali?	split bamboo woven into sheets (used for walling) [7d98791f9b60333e1229cded71d3a1ee]	show set
kaba?	"spotted, piebald (of animals, fish, material, etc.) [b6f7aa4d4072b182c0d3d23b4b2f9c46]"	show set
ugbus	sprout (of a plant) [069664e7e6ae02f4fcdb5132cbdad5bc]	show set
sumpit	"squirting, spurting [83eb2bc100602cfe0d39286e958e23f9]"	show set
tag-andak	stamp the feet [c228099c8e4b23be876e5b91c8a6cc25]	show set
p?t-an	sticky rice (a variety of rice that becomes sticky when cooked) [b5913f163bcd6068688ebe49741f0311]	show set
ma-bahu?	"stinky, odorous, smelly [750aa12321253227f4e8905eb4ee6265]"	show set
tiyan	"stomach, belly [61d63afed94b4f38a2f1609a65211422]"	show set
batu	"stone, rock, pebble [1215341970b350a56f5b9b743cdba8c2]"	show set
kusug	"strength, power, vigor [4cd9f4eedfba418541dbc8892b31781c]"	show set
ma-kusug	"strong, vigorous, powerful (of rain, coughing), heavy [320c050b91f8dbaac90d2dce35e62687]"	show set
tubu	sugarcane [2ed99d8fb99753b3730cf6b8697be6fe]	show set
palig	surgeonfish [f406f5e196706907a323e73bc29dc04b]	show set
atis	"sweetsop, sugar apple: Annona squamosa [b435ff631ad5ecf47f5d77fd28012a8f]"	show set
haba? dila?	talkative (lit. �long tongue�) [22147f68fb5f0ff857fa9165e417c906]	show set
utan	taro when the leaves are not yet open (eaten as a vegetable) [c85363d643a1f6a4e137797237b6b94c]	show set
jati?	teak [59744997bdeef60d0d03eb000be8feb6]	show set
ha-?-pu?	ten [b1b9a972ccd8c962a473909b97007eb4]	show set
aya	"term of respect for male nobility (sultan, datuq) of the same generation as one's father (including father); hence: father, uncle [25cfefbbce0030facd15379d1a129eb2]"	show set
tagar-an	that which one is waiting for [9048f6c7ad0caf240fb4ef3bd5ad41e3]	show set
d?n-an	"the cause (of something), course of events leading up to (something) [7629a1ce6bb2c5a444cdf162b1255e53]"	show set
pikut	the common housefly [ce7d964c909b9ce7e49d5845149e0d84]	show set
tumbu?	the end of the spinal cord above the buttocks (where a tail would grow) [9295d2cd741a4e8251febdec12246075]	show set
pusu?	the flower of the banana (used as a vegetable) [7cd48444962112eccfa71121189765c6]	show set
pag-taul	the howling of a dog [c8f695b589afd5874e7ee9247256222e]	show set
gi-nhawa	"the inner part of a person, spirit, the thinking, feeling part of a person (as distinguished from the body); mind, intellect; dignity, self-esteem [21f6f63126e6b0a318cf104816d14405]"	show set
gulis	the lines of the palm (of the hand) [e3896c0203821b2132d8ef9bf43814e2]	show set
pintal	the main string attached to a kite (that holds it firmly in balance) [98d51f88cbc1ef43dde29bab57ef0baa]	show set
gasa	the mantle (of a pressure lamp or an Aladdin lamp) [499132f5a3a0cd95f69c8fcb6c5943e0]	show set
ikug mata	the outer eyelid (�tail of the eye�) [bdd3a8fff3becf21037ddc18e70b5f4b]	show set
lupis	the outer layer of the abaca plant (usually used as string) [8b333967892225b9e73deeff2a53529f]	show set
kakak	"the quack of a duck; a loud, coarse, burst of laughter [97c86590483e2f7e533dad2da833764d]"	show set
la?it	the sky [a35f40a0b3010134cfb1c11961368b87]	show set
takla?	"the sound made by flapping the tongue against the roof of the mouth, a clicking of the tongue [cb819b3b58539a8a8e9e35a12ac8000a]"	show set
?ilu	"the uncomfortable feeling at the edge of one�s teeth felt when hearing a scratchy sound, eating something sour [f3f616ed11b5880bb4c02fb113ed4c3a]"	show set
tanug	"the volume (of a sound or voice); famous, well-known [8b6ca5972cc85cf85cc51c82ccfb7f3d]"	show set
suba?-an	the waxing of the moon; the number of days in the month since the new moon; a day; the direction east [8c133b511631ccc6e4c803f25f09e548]	show set
paa	thigh [f155e2b0674e3aea187c9df55ce6d239]	show set
ma-nipis	"thin (as person, book, pad of paper); (of cloth) flimsy, sleazy [962721091f42bd25769439f1ccad48fc]"	show set
kuwan	"thingamajig, thingamabob, what�s-it (a word used for whatever one cannot immediately or exactly express, but is usually understood) [1a65dd1d7389a14810927585de107e4b]"	show set
kuppis	"thin, lacking thickness, empty (as of the stomach, a pillow, tire, balloon, or sack of rice) [73ed5640b1089666258ac16ff58012dd]"	show set
nipis	"thinness, flimsiness, sleaziness [f2382a25d09ea416136d54d40db055f2]"	show set
uhaw	thirsty [52def7c94d005c020297bef28628392a]	show set
tanud	thread [dc127f5d2483352fd20eaddb38feb6d2]	show set
t?	three [35d6d33467aae9a2e3dccb4b6b027878]	show set
hugut	"tightness (as of a knot, tie, lid, door); firmness [c025d806820fdcdc1277c2080f8eaf50]"	show set
?h-an	"tip, top or front part of something; chief of a group [7a62eae8b260e102e4798b4143588c44]"	show set
ma?-guyud	"to abduct (someone, often a girl in order to marry her) [3a01399574982ade4c0bda665ea2b6d5]"	show set
mag-gatas	to add milk to (something) [39931546bc908ac8dc4886d03de1189a]	show set
mag-pakay	"to adopt something (as an idea, practice, or behavior) [3762900694ff4551ecbc65612a636dd4]"	show set
mag-uyun	to agree with (another�s opinion); for two or more opinions to agree [d89d6f73617442d8fed94136a56cc380]	show set
mag-tugut	"to allow, give permission, concede; to play out string, let something out further (e.g. a kite) [0917b933f26fc14c071f53bf1dc583f1]"	show set
datu?	to arrive [4c81e57460a3ce37b3aa1c7a3b4bb948]	show set
datu?	to arrive; to appeal a court case [23f60b4efd8d348364f9f8091abcc722]	show set
hu?suy	tobacco pipe [7d0ffb0d53e01a208bfb5b6a4f1fd731]	show set
limas	"to bail, remove water from a boat with a bail [b2d6d2aef0bd73cdc7066797ef8b1dea]"	show set
limas-an	"to bail, remove water from a boat with a bail [b2d6d2aef0bd73cdc7066797ef8b1dea]"	show set
sawan-un	to be affected by a convulsion [ca2bc506cd4f43569e0c1b1ea1c933bb]	show set
datu?-an	"to be a recipient, be attacked or beset (by something, as a disease, fear, laziness); place where someone stays upon arrival (as a house, hotel, or apartment); a person or body to which a (court) case is brought or referred [0d25b5d12e8c1f530219bc16cfa15421]"	show set
mag-lubak	"to beat, whip, spank someone [1655c78503774529ffb83a49a30c1338]"	show set
ma-gila	"to become frantic with delight, wildly excited, delirious [0c35d49ce15930cf32f4491d5ad4cc3c]"	show set
ma-pilay	to become lame [fd25b0b22ce464f69302ff7f1fadc999]	show set
luslus	to become loose and slide down [8db23df2427871a7a5b91175cac9ed75]	show set
ma-sumbi?	to become nicked [fa704e2e9049fe2fd31a073684ef5246]	show set
mag-sakit	"to become painful, sore [ade60d0f6d29221e01610860ba4e054e]"	show set
sakit	"to become painful, sore [ade60d0f6d29221e01610860ba4e054e]"	show set
ma-hinug	to become ripe; (of a cold) at the stage at which mucus comes out freely when the nose is blown [9d1dcac44a9a26ccb1b6daaee79e5b33]	show set
mag-ikut	to become selfish or stingy [1a47d0d5f4ba47a6b78c0fb2179edf17]	show set
mag-tamana?	to become sterile [71c34f458e0e2846cb3ee711dc7a05a6]	show set
mag-nipis	to become thin or thinner [bc292a26639b072310895ce782fbf79a]	show set
nipis	to become thin or thinner [bc292a26639b072310895ce782fbf79a]	show set
hugut	to become tight or tighter [dd7ba0931265f9b80d70e7e59aa4d69b]	show set
ma-lubug	to become turbid or muddied [3bff64df3aefca1c021682b1d5a5c472]	show set
lupay	"to become weary, fatigued [ba0ab923be727d2a60ad19d7f3486501]"	show set
muti?	"to become white, as cloth that is bleached [c6437f029f21cf19c743148f7ed3ddf6]"	show set
tubul-un	to be constipated [543b31bdfb9a2c424233678df653cde2]	show set
tuyu?-un	"to be earnest, zealous in doing something; strive hard (for something) [eba54e9708ff6ef18604707d3e543f8c]"	show set
ma-limun	"to be entirely covered, out of sight, submerged [8679216f76e6777da0202035f0095622]"	show set
duwa-un	"to be in twos, (do something) in twos, use two (of something) [7263d8daad06c189a70e24da51c9eb32]"	show set
kabus-un	"to be lacking in, be short of, run out (of something) [ac9e5e2c4c5f0b23f52c0c4eff70450e]"	show set
kulluk-un	"to bend, curve (something) [a433229557ad24e22635da9b7c73cdc6]"	show set
mag-tuwad	to bend over with the buttocks raised [7f84732ef80b4d7c48cfd0a90b4a0d4d]	
mag-piku?	"to bend (something, as iron or rattan) [6214927ae17f4099f0da378fd638c7b7]"	show set
ukab	to be open or about to open [081d45254c12b1e306f09b81492e1e0c]	show set
ma-lanus	to be or become a spinster or an old bachelor [375306558281e6094a0e19575df9b78d]	show set
pag-suba?-un	"to be or become crazy, be mildly affected now and again by times of lunacy [800a3c213b7500b584d55f3ce485a0fe]"	show set
ka-katul-an	to be or become itchy [593d4b6e93c151e7cf918ab63694b875]	show set
mag-hipus	"to be or become quiet (implies an end, cessation or discontinuance of noisy activities, as of household chores, traffic, quarrel or fight, or cannonade) [6333d8c9409694da9e0d5f8d854adda6]"	show set
ma-li?ga?	to be or become tipsy [59811b7413da755bca30dd0853189edb]	show set
ugam-un	to be or beome afflicted with stomatitis [102cfaaf9f25e60a3fe05b28e20e3b97]	show set
d?m-an	to be overtaken by the night [a80e159423747077549d764a509d1b34]	show set
ka-tanum-an	to be planted on (a plot of land) [9f0437a2448702c6ce04f694827dab7f]	show set
ma-puas	to be settled [ea8d3abae684e5509958135f3353a611]	show set
mag-kutup	to bite or take a nip of something (usually hot chili peppers) [dd9739482b3edf76edd8997c5020c800]	show set
kutkut-un	to bite (something) [b7cc7d0744cef7e68ed945cc5a0a6c6f]	show set
ka-dugu?-an	to bleed [9719b0a3fbc54bff296f05acd1183ae8]	show set
mag-dugu?	to bleed [9719b0a3fbc54bff296f05acd1183ae8]	show set
mag-p?tu	to blow a whistle [c56dcea4bcbd8e81a800e5bb8eb69aec]	show set
mag-suntuk	"to box or sock (someone), hit (someone) with one�s fist [9933fb24301b8b16537fac4a33382d46]"	show set
lubid	to braid something [0a8701fe393fa092eedfedc324f95061]	show set
lubir-un	to braid something [0a8701fe393fa092eedfedc324f95061]	show set
mag-bugtu?	"to break (something, as rope, thread, wire, string, etc.) [ec2d6232f7781a32b026e34bfdbf604d]"	show set
sagsag-un	"to break (something) off, destroy or damage (something) [e9e2f0130e51da5f4c30ce1f61dad608]"	show set
da?da?	"to broil or roast something (as fish) on the embers, as meat or fish [d815366cbca59ea777dc1661482502c0]"	show set
kiskis	to brush one�s teeth [b272d2de4c125aea87818346a1d47cb2]	show set
ma?-gisgis	to brush one�s teeth [b272d2de4c125aea87818346a1d47cb2]	show set
mag-kuta?	"to build a fort or stone wall, fortify (a place) [f04013afe2d244c34d894a82196f65b3]"	show set
mag-taban	"to capture property, loot, plunder; (usually for many people) to strive to get a share of something [5d4b2566bbdd9c08b89dc25be9ca2533]"	show set
ka-puli?-an	to catch dust or any tiny particle in one�s eye [b36ebd771dda70f7039ebe2fe4883a49]	show set
sipit	"to catch something between two fingers, pincers, etc.; pinch something; to clip something, as paperclip clips paper, a clothespin clothes, or a hairpin hair; to carry something under the arm [644c5ec901c37df443e208fdebb8b5ad]"	show set
daan-un	"to cause something to be old or worn out (esp. by constant wearing, as clothes or shoes) [a0c55c243f54e7d08ac077e915d36b83]"	show set
mama?-un	to chew betel nut [824e9bb378f418ac014b500279c455e2]	show set
ma?-p??	"to choose, select, pick out [d87f38f1e67d618dcc1a073d71e8f7c8]"	show set
p??-un	"to choose, select, pick out [d87f38f1e67d618dcc1a073d71e8f7c8]"	show set
mag-p??	"to choose, select, pick out; to remove unhusked rice or other particles (from cooking rice) [b6880e97ee29aa28cd035108a0c70447]"	show set
li?ku?	to coil (something) [285cf44e0ce86f52986169f29baabc08]	show set
mag-li?ku?	"to coil up, as a snake [66f674f8c82c7b0573d68749ceedae6a]"	show set
ma-ta?ta?	"to come part, be dismantled, come off or out of something [65250c6cbecc4d4eed7dc1520993e35e]"	show set
k-ari	"to come (to the speaker or somewhere near the speaker, as in �come here!�) [25bb7c1e92732abad3bc38c5ea892a62]"	show set
m-ari	to come (to the speaker or somewhere near the speaker) [e563da484bace0a7d45a9b6b9dd2418f]	show set
mag-s??	"to commit a mistake, error or fault, have a flaw; err, miss the mark, be wrong [bce356b44a5a4ce5d0c49fedce94e3a8]"	show set
s??	"to commit a mistake, error or fault, have a flaw; err, miss the mark, be wrong [bce356b44a5a4ce5d0c49fedce94e3a8]"	show set
mag-lassun	to commit suicide by taking poison [aaf1c11ce425d3f4d45afb220cda328b]	show set
timba?-un	to consider something (in making a choice) [167a470288e366cce4363cbfa44be126]	show set
talus	"to continue, finish (doing something, esp. something already started) [c60bef59825b78cce31ff3b0a82ade2a]"	show set
su?ut-un	to contract or be afflicted with asthma [39c7d709c4944d840659fe93c265787e]	show set
mag-iyut	"to copulate, have sexual intercourse (vulgar, often used in foul language and cursing) [420967c7e6614fa25fb8864a7216dced]"	show set
mag-latag	"to cover an area thoroughly; for information, gossip, sickness, etc. to spread, diffuse [2a08fb38112f89434611d370cb28a602]"	show set
gili?-un	"to crank something, keep something revolving or turning; to grind something, as coffee or corn [a4e0b4530a36200fb69818d17b2acd55]"	show set
mag-gili?	"to crank something, keep something revolving or turning; to grind something, as coffee or corn [a4e0b4530a36200fb69818d17b2acd55]"	show set
mag-taytay	to cross a bridge (to a place) [4d448cdee816c2ee4e145701396ee34f]	show set
taytay	to cross a bridge (to a place) [4d448cdee816c2ee4e145701396ee34f]	show set
mag-sabit	"to cross an object over a like object, as one leg over the other, the ends of rope or thread, pieces of rattan, or grass used in weaving [1cd774cc139949a8821c6086f6634eaf]"	show set
mag-pipis	"to crush or press (something so that it becomes fine or soft, as peanuts, pepper, or grains of rice) [07a155ae2b5f01f23693287c735eaa88]"	show set
mag-ta?is	"to cry or weep, shed tears [fc7b010fa36e31980a82547525f1abb0]"	show set
ta?is	"to cry or weep, shed tears [fc7b010fa36e31980a82547525f1abb0]"	show set
mag-kulu?	to curl someone�s hair [c1db9073d2f46e4bf9a851f3b15d4b53]	show set
sipi?	to cut a stalk of bananas into hands [ba78cb30915f0b2afc1fa730facda87b]	show set
tastas	"to cut or tear stitches so as to open a seam, hem, etc. [8aca473ab6324d617a9b7f7c47212f78]"	show set
gunti?	to cut something (with scissors or an instrument resembling scissors) [83435da243c2e0376d294fb121145489]	show set
kutuh-an	to delouse someone [b292e42940f86f4eb29fe5b1006e69d7]	show set
mag-ka-pagas	to develop a hoarse voice [6ac362e21900abaa0263a636acc252d1]	show set
mag-dahun	to develop leaves [c86420efbcf71de4ae5a97def4b21324]	show set
gamut	to develop roots; to become settled or established [6effd5e8a5db42bb15b3408e223088b3]	show set
mag-gamut	to develop roots; to become settled or established [6effd5e8a5db42bb15b3408e223088b3]	show set
mag-ka-sakit	"to develop sickness, get sick [439b8a7d3d3215f4d3103d02b24eef56]"	show set
mag-tunaw	"to dissolve, melt (something); to digest (something) [a0923151576c5d39a7f0dbb6407491fd]"	show set
tunaw-un	"to dissolve, melt (something); to digest (something) [a0923151576c5d39a7f0dbb6407491fd]"	show set
mag-tu?a?	to divide something in half [28614bc699a28997f9033dd60b05d971]	show set
minsan	(to do something) at one sitting [199f40ee02405385155e4a2eb93d252e]	show set
mag-guyud	"to drag, pull (something) [7f81f82623a5bf5e52a0a1a8b000e12a]"	show set
guyud-un	"to drag, pull (something); to abduct someone (often a girl, in order to marry her) [0d6d7d059b485944b5c5e9f640bc8491]"	show set
mag-t??	to drip [030b789030e88d63d7c23b2188ec7238]	show set
t??-an	to drip [030b789030e88d63d7c23b2188ec7238]	show set
lumus-un	to drown (someone or an animal) [7c6db8a5ce60bd2e5141c4b7036fdb6a]	show set
mag-katik	to drum (with a small stick or fingers) [df978a02852ef9e81d9399e91c5e89c2]	show set
kaun	to eat [41b400e8245cdc3ac003487b7780f5af]	show set
mag-kaun	to eat [41b400e8245cdc3ac003487b7780f5af]	show set
mag-ab?ab	"to eat or drink voraciously (derogatory, connotes criticism or anger) [24f5471c13da02992921d8993ed2a453]"	show set
mag-luwa?	to eject something from the mouth [10e52cab84dad2a423452dd179ea0ffd]	show set
mag-likus	"to enclose something, confine something by or as by binding [27d7f3b06a3708e8bc20fbef066cd98b]"	show set
gaga	"to exercise authority over, discipline, restrain, or control someone [1ddb35a4228868892e86c799cbef3ba9]"	show set
dugu?-un	to experience menstruation [d12a7b1ad7b0a0dd22f68dc83d602db9]	show set
mag-dupa	to extend one�s arms to the side [3607b2dfb06fc8f73f3c1712956629dd]	show set
pa-kaun-un	to feed (as children); cooked rice [c929764067fb2ddc6641a95898b948c5]	show set
mag-suru?	to feed (someone) with a spoon [4353a6bc6f75dae20596829f15916b4d]	show set
mag-bansag	to feel proud of something; to have or show a proper pride in oneself [db0fd02041bbf8d2f1f60cfbe30ea66f]	show set
gutgut	"to fiddle (something, as a violin) [a3d14926446cf77c7d7d21af429b42fb]"	show set
mag-lawag	"to find, seek, search, look for (something) [a19645c4e1c606a8144b2404e901300b]"	show set
pukut-un	to fish with a seine [3b6b99a436b81c29a5482de9ab0729c7]	show set
